% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.963611175e+04 +8.963611175e+04 +8.908961175e+04 +8.908961175e+04 -1.1455e+00 -3.0421e+00 +4.9607e+00 -4.0862e-01 -8.9076e-01 -4.1946e+00 +5.4253e-01 -2.4302e-01 -2.3749e+00 +4.2428e+00 +1.0029e+00 -1.2395e-01 +2.7496e+00 +1.0177e+00 +3.4396e+00 -1.2356e+00 +6.9861e-01 -5.9137e-01 +8.5002e-01 -2.7856e+00
29 +4.700520404e+04 +4.700520404e+04 +4.645870404e+04 +4.645870404e+04 -3.4832e+00 +2.7686e+00 -1.9635e+00 -3.3512e+00 -2.8421e+00 +1.6238e+00 +8.3496e-01 +4.9494e-01 +3.4399e+00 +4.4196e+00 +1.8943e+00 +4.2321e+00 +5.1874e-01 -1.5411e+00 -3.5783e-01 -2.5875e+00 -2.6079e-01 -3.9723e+00 -4.2536e+00 +1.4929e+00
140 +3.770140065e+04 +3.770140065e+04 +3.715490065e+04 +3.715490065e+04 -3.4118e+00 +2.7874e+00 +1.2757e+00 -6.9677e-01 +4.5945e-01 -3.1874e+00 +1.7346e+00 +2.9572e+00 -2.8821e+00 +5.2763e-01 +1.9574e+00 +2.4329e+00 -1.7346e+00 -2.8889e+00 +2.6804e-01 -4.4465e+00 +4.4908e+00 +9.0386e-01 -3.5312e+00 +1.1315e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.106493961e+05 +2.106493961e+05 +2.116493961e+05 +2.116493961e+05 +1.9372e+00 +8.1242e-01 -2.5208e+00 -3.1617e+00 +4.4341e+00 -1.5887e-01 -4.0427e+00 +4.6445e+00 +2.6317e+00 +4.0787e+00 +1.5467e-01 -3.9171e+00 +4.7848e+00 +3.0468e+00 -6.2692e-02 -1.3202e+00 +4.0231e+00 -4.1076e+00 +2.1550e+00 +4.9490e+00
2 +1.173692591e+05 +1.173692591e+05 +1.183692591e+05 +1.183692591e+05 +1.0183e+00 -3.1079e+00 +3.9470e+00 +8.7024e-01 -2.2037e+00 -3.7311e+00 +4.9433e+00 -1.3692e+00 +3.3111e+00 -1.1686e+00 -1.9751e+00 -2.0302e+00 -2.4020e+00 +3.8151e+00 -8.2529e-01 +2.1137e+00 -3.1333e+00 +1.3634e+00 -4.2179e+00 +3.0515e+00
8 +9.380808687e+04 +9.380808687e+04 +9.480808687e+04 +9.480808687e+04 +2.3403e+00 +2.2841e+00 +2.2508e+00 +4.7643e+00 +1.1228e-01 +3.2347e+00 +5.7495e-01 +4.2588e+00 -2.9439e+00 -7.4100e-01 +1.6380e-01 +4.1876e+00 -1.0791e+00 -1.2719e+00 +1.1765e-01 +1.5467e+00 -3.0796e+00 -2.9003e+00 -3.4131e+00 +4.4969e+00
35 +3.040270569e+04 +3.040270569e+04 +3.140270569e+04 +3.140270569e+04 -2.7573e+00 -3.1075e+00 +1.3230e+00 -2.9054e+00 +1.1785e+00 +3.9582e-02 +2.1005e+00 -9.8298e-01 -2.8853e-01 -3.4370e+00 -2.8395e+00 -2.2921e+00 -2.1790e+00 -3.6104e+00 -2.9183e+00 +4.2640e-01 -3.0057e+00 -8.9269e-01 -4.8470e+00 -1.9595e-01
926 +1.883201916e+04 +1.883201916e+04 +1.983201916e+04 +1.983201916e+04 -2.9918e+00 -3.3672e+00 +1.2500e+00 -2.7447e+00 +1.0626e+00 +4.3702e-02 +2.2072e+00 -9.5694e-01 -2.5000e-01 -3.2397e+00 -2.7953e+00 -2.2143e+00 -2.1328e+00 -3.5029e+00 -2.6988e+00 +4.2775e-01 -3.3495e+00 -9.4821e-01 -4.0000e+00 -2.0182e-01
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
