% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
339 +5.969869937e+02 +5.969869937e+02 +7.126669937e+02 +7.126669937e+02 +1.6955e+00 +5.7134e-01 -5.6860e-02 -4.0098e+00 -1.4946e+00 +7.6514e-01 +2.8899e+00 +3.3259e-01 -3.7976e+00 -2.1318e+00 +3.2690e+00 -1.1461e+00 -3.2810e+00 -1.0053e+00 -2.0435e-01 +6.6275e-01 +1.4489e+00 +2.6576e+00 +4.4675e+00 -5.5635e-01
1173 +6.249281094e+02 +6.249281094e+02 +7.406081094e+02 +7.406081094e+02 +3.5568e+00 -1.8556e+00 -1.5905e+00 +3.5757e+00 -9.3681e-01 -1.4682e+00 -1.5245e+00 -3.8442e-01 -4.3014e+00 -3.2351e+00 -2.5849e+00 -4.9331e+00 -4.0071e+00 +5.6428e-01 -4.7611e+00 -4.1751e+00 -2.0246e+00 +1.2458e+00 +1.8790e+00 +9.2064e-02
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.945358534e+03 +1.945358534e+03 +1.941648534e+03 +1.941648534e+03 +3.3114e+00 +6.3334e-01 +1.0324e+00 +8.0949e-01 -4.9324e+00 -2.4042e+00 -8.2765e-01 +3.9969e+00 +4.5119e-01 -6.9015e-01 -3.3927e+00 -1.8433e+00 +9.3170e-02 -2.3876e+00 -2.9950e+00 -1.6596e-03 +1.3885e+00 -3.7581e+00 +1.2057e+00 +1.1809e+00
9 +1.059387082e+03 +1.059387082e+03 +1.055677082e+03 +1.055677082e+03 +3.0215e+00 +2.0310e+00 +7.9992e-02 -6.4055e-01 -5.4697e-01 -1.1125e+00 -3.3375e-01 -1.1323e+00 +2.1145e+00 -4.4451e+00 +2.5907e+00 +4.5218e+00 -4.8983e+00 -3.0173e+00 -3.1933e+00 -1.0285e+00 +1.5364e+00 +2.8524e+00 +4.2622e+00 -1.0370e+00
27 +9.504708828e+02 +9.504708828e+02 +9.467608828e+02 +9.467608828e+02 -5.7522e-01 +2.0770e+00 +2.8797e+00 +3.7891e+00 +2.6488e+00 +6.7970e-02 +1.1692e+00 -3.8750e+00 +1.8904e+00 +1.2312e+00 -1.6193e+00 +4.5237e+00 -4.0424e+00 +1.1597e+00 -1.0188e+00 -1.5131e+00 -1.1274e+00 +4.2699e+00 +4.2468e+00 -3.9571e+00
1098 +6.225278800e+02 +6.225278800e+02 +6.188178800e+02 +6.188178800e+02 +5.0000e+00 +4.0801e+00 -1.0961e-09 -9.1205e-10 +8.9438e-10 +5.0000e+00 +9.7813e-10 -3.9053e+00 -5.0000e+00 -1.0904e-09 +1.4698e+00 -2.0131e+00 +5.0000e+00 -4.1043e+00 +8.3706e-10 -5.0000e+00 -2.1541e+00 +7.7679e-10 +2.4181e+00 -9.7316e-01
857 +6.275883544e+02 +6.275883544e+02 +6.238783544e+02 +6.238783544e+02 -5.0000e+00 -5.0000e+00 +5.0000e+00 -4.4082e-01 +5.0000e+00 -1.3824e-01 -2.6292e+00 -3.0764e+00 -8.7752e-01 -3.3580e+00 +5.0000e+00 -1.6505e+00 +5.0000e+00 -4.5735e+00 +7.6548e-39 -1.2323e+00 +2.9562e+00 +1.0008e-38 +9.6147e-01 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.243510658e+03 +1.243510658e+03 +1.375690658e+03 +1.375690658e+03 -9.1147e-01 +3.5221e+00 +3.1554e+00 -9.0283e-01 +4.7162e+00 -1.3014e+00 +2.5314e+00 -1.0832e+00 +2.4658e+00 +5.2386e-01 +1.3941e+00 +3.4300e-01 +2.7930e+00 +4.0749e+00 -4.7010e+00 -3.3509e+00 +2.2418e+00 -2.1870e+00 -2.7817e+00 +3.8301e+00
16 +9.096485517e+02 +9.096485517e+02 +1.041828552e+03 +1.041828552e+03 +3.7074e+00 -4.7677e-01 +1.7376e+00 -4.3506e+00 +2.6720e+00 -2.5469e+00 -3.4253e+00 -1.8240e+00 +9.7933e-02 +2.8225e+00 -3.3008e+00 +4.3760e+00 -8.8021e-01 +2.9278e-01 -3.3299e+00 +4.8469e-01 +9.8403e-01 +7.4467e-01 +1.3475e+00 -3.3009e+00
31 +5.046442188e+02 +5.046442188e+02 +6.368242188e+02 +6.368242188e+02 +9.3853e-01 +1.4070e+00 +2.8004e+00 +1.2201e+00 -1.3412e+00 -1.7542e+00 -4.7701e+00 +2.1626e+00 +1.0131e+00 +9.6562e-01 +3.7421e+00 +4.5497e+00 +7.4095e-01 +3.1950e-01 -2.6291e+00 +3.0448e+00 -2.5252e+00 +2.5333e+00 -1.6210e+00 +1.0945e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.524832850e+03 +4.524832850e+03 +4.483092850e+03 +4.483092850e+03 -1.7359e-01 +6.5736e-01 -2.0495e-01 -1.4325e+00 +1.3636e+00 +2.0066e+00 +4.4621e+00 -3.5797e+00 -4.6638e+00 +3.9091e+00 +9.7434e-01 -3.3614e+00 -1.6841e-01 -2.3324e+00 +7.3327e-02 -1.2391e+00 +3.8832e+00 -7.6253e-01 +4.8429e+00 +1.4373e+00
2 +2.670440098e+03 +2.670440098e+03 +2.628700098e+03 +2.628700098e+03 +7.7059e-01 +4.1694e+00 -3.3553e+00 -2.8199e+00 -3.2351e+00 +7.2631e-02 +1.5622e+00 +2.1389e+00 +1.3301e+00 -7.5299e-01 +3.3725e+00 -3.4029e+00 +1.7332e+00 +4.0813e+00 -4.8275e+00 -3.1047e+00 +4.8416e-01 +8.1137e-01 -4.5426e+00 +9.2088e-01
3 +2.083403545e+03 +2.083403545e+03 +2.041663545e+03 +2.041663545e+03 +5.8721e-01 -1.4934e+00 -3.0575e-01 +1.9412e-02 -4.7128e+00 -3.1719e+00 +1.0231e+00 -2.9745e+00 -3.5281e+00 +2.2431e+00 +1.5939e+00 -3.0418e+00 +3.0659e-01 +9.2842e-02 -1.8974e-01 +2.4379e+00 +9.2995e-01 +9.6802e-01 +3.3440e+00 +3.8583e+00
