% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4 +8.760693278e+00 +8.760693278e+00 -2.143593067e+02 -2.143593067e+02 +4.1798e-02 -1.9655e+00 -3.4258e+00 -2.2771e+00 -2.5297e+00 -2.7051e+00 -7.5820e-01 -2.6569e+00 +8.0155e-01 -8.4876e-01 +2.4238e+00 +1.8502e+00 -1.0565e-01 +3.3245e+00 -2.2732e+00 +1.7748e-01 +4.5991e+00 -4.1036e+00 -2.2529e+00 +3.4220e+00
18 +5.588271942e+00 +5.588271942e+00 -2.175317281e+02 -2.175317281e+02 +2.2467e+00 -2.5053e+00 -2.7928e+00 +3.7343e+00 -3.6933e-01 +4.9614e+00 -1.5866e+00 +4.3185e+00 -8.1160e-01 -2.8032e+00 +1.1443e-01 +3.7499e+00 +1.2096e+00 -1.8940e+00 -1.7239e+00 +3.8627e+00 +3.9031e+00 -3.3160e+00 +3.6983e+00 +1.3336e+00
% function evaluation | noise-free fitness - Fopt (-4.443000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.162671206e+00 +9.162671206e+00 -3.526732879e+01 -3.526732879e+01 +2.8309e+00 +3.7506e+00 +2.2232e+00 +1.6598e+00 +4.2481e-01 -3.0204e+00 +4.8744e+00 -2.7364e+00 -3.5665e+00 +3.7544e+00 +7.8011e-01 -3.8437e-01 -3.4553e+00 -4.3614e+00 -2.7247e+00 +1.1908e+00 +2.2807e+00 -3.6176e-01 +3.5771e+00 -2.9457e+00
23 +5.764052061e+00 +5.764052061e+00 -3.866594794e+01 -3.866594794e+01 +1.7538e+00 +1.7237e+00 +4.6458e+00 +3.4928e+00 -2.5270e-01 -4.3562e+00 +7.4294e-01 -4.1332e+00 +4.1142e+00 +4.6438e+00 +3.9184e+00 -2.1840e+00 +7.0979e-01 -4.0774e+00 +1.1659e+00 -3.1060e+00 +2.0382e+00 +3.1782e+00 -2.1977e+00 -4.8119e+00
1102 +3.749546004e+00 +3.749546004e+00 -4.068045400e+01 -4.068045400e+01 +2.4350e+00 +3.3744e+00 +2.3276e+00 +2.0069e+00 +4.3411e+00 -2.0536e+00 -2.0726e+00 +4.5577e+00 -9.6222e-02 +4.3383e+00 +2.9798e+00 +3.8485e+00 +3.3167e+00 -8.0611e-01 +3.0650e+00 -2.5159e+00 +1.6771e+00 +1.8589e+00 +7.2539e-01 -8.0950e-02
% function evaluation | noise-free fitness - Fopt (1.994000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.332552852e+01 +1.332552852e+01 +3.326552852e+01 +3.326552852e+01 +2.9381e+00 -4.7692e+00 -3.5963e+00 +1.5050e+00 +2.1494e+00 +4.4828e+00 -4.7637e+00 -3.9675e+00 +2.0064e+00 +3.9383e+00 +3.8871e+00 +5.6299e-01 -1.9938e+00 -3.3527e+00 -1.8716e+00 -3.6247e+00 -2.8778e+00 +3.7025e+00 +1.8048e+00 -3.8106e+00
16 +7.079385844e+00 +7.079385844e+00 +2.701938584e+01 +2.701938584e+01 -2.1161e+00 +4.5963e+00 +1.6130e+00 +1.4050e+00 +3.9428e+00 -2.2487e+00 +4.5460e+00 +4.2697e+00 -4.7452e+00 -9.7455e-01 -4.6021e+00 +3.0694e+00 -2.5261e+00 +3.1144e+00 -2.0179e+00 +7.9192e-01 +7.2253e-01 -3.1118e+00 -3.9470e+00 +2.3578e+00
31 +4.377475920e+00 +4.377475920e+00 +2.431747592e+01 +2.431747592e+01 -1.3879e+00 -4.4047e+00 +4.6586e+00 -3.2197e+00 +2.5561e+00 +2.5876e+00 -4.7276e+00 -8.6391e-01 +2.2544e+00 -2.4507e+00 -3.7434e+00 -2.2174e+00 -3.5016e+00 +2.3625e+00 +4.9784e+00 +6.6702e-01 -8.9207e-01 +4.3007e+00 -1.0644e+00 -3.1027e+00
