% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.693270242e+01 +9.693270242e+01 -5.617297584e+00 -5.617297584e+00 -9.8312e-01 -7.3544e-01 -2.9178e+00 -3.8352e-01 +4.9684e+00 -4.1257e+00 +1.7717e+00 +4.8942e+00 +1.8785e+00 -3.3928e+00 -3.9404e+00 +3.9024e-01 +5.5381e-02 -4.9346e+00 +4.3451e+00 -1.6042e-02 +9.3662e-02 -4.6367e+00 -3.9862e+00 +2.4626e+00
2 +2.728213459e+01 +2.728213459e+01 -7.526786541e+01 -7.526786541e+01 +4.3967e-01 -2.3919e+00 -1.7483e+00 -2.8791e+00 -4.1428e+00 -3.5977e+00 -1.9146e+00 -9.6007e-01 +3.5040e+00 -1.5204e+00 -3.8907e+00 -1.5316e+00 +3.1046e+00 -2.3257e+00 +4.0936e+00 -5.1445e-01 +2.8749e+00 -2.1888e+00 +1.0322e+00 +7.2611e-01
32 +2.027168211e+01 +2.027168211e+01 -8.227831789e+01 -8.227831789e+01 +3.1858e-01 -1.7973e+00 +1.2949e+00 +2.2458e+00 -1.2109e+00 -3.0205e+00 -1.9474e+00 -1.8393e+00 +1.0402e+00 +2.4455e+00 -3.2200e+00 -1.4028e+00 -3.5447e+00 -2.7566e+00 -2.6095e+00 -6.5759e-01 -1.5324e+00 +3.4479e+00 +2.2423e-01 +1.6634e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.646023942e+01 +4.646023942e+01 +1.181502394e+02 +1.181502394e+02 -3.6267e+00 +3.0722e+00 -8.3673e-01 +4.1955e+00 -4.2568e+00 -9.6705e-01 +3.7696e+00 +1.3623e+00 +2.9478e+00 -1.8432e+00 -4.5840e+00 -3.1396e+00 +4.2058e+00 -2.6086e+00 -7.0496e-01 -1.4769e+00 +1.7862e+00 -1.1421e+00 -2.7552e+00 -1.8408e+00
4 +2.289884202e+01 +2.289884202e+01 +9.458884202e+01 +9.458884202e+01 +1.8994e+00 +3.1861e+00 -2.4413e+00 +4.7117e+00 -4.0029e-01 +1.8269e+00 -1.8854e+00 -1.7529e+00 -4.5610e-02 +3.8475e-01 +2.3997e-01 -3.3757e-01 -1.2115e+00 +3.6358e+00 -3.9096e+00 -8.3449e-01 -2.6519e+00 -7.9869e-01 -4.9110e-02 +3.4391e+00
11 +1.538132362e+01 +1.538132362e+01 +8.707132362e+01 +8.707132362e+01 +3.5495e+00 +3.6747e+00 -4.9552e-01 -4.9815e-01 -2.6014e+00 +1.3459e+00 +2.0439e+00 +3.8759e-01 +7.6075e-01 -1.9878e+00 -2.4446e+00 -6.0059e-02 -3.8305e+00 +1.2678e+00 -1.0907e-01 -1.4495e+00 +5.0480e-01 -6.5261e-01 -4.2427e-01 -3.5376e-01
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.471835649e+01 +5.471835649e+01 +2.687283565e+02 +2.687283565e+02 -2.1185e+00 -3.7359e+00 +3.8784e-01 -8.0146e-01 +3.4937e+00 +1.7102e+00 -4.5938e+00 -7.4357e-01 +9.5034e-01 +3.6240e+00 -1.8294e-01 +1.9433e+00 +3.1530e+00 +3.9283e+00 +3.5819e+00 +2.4391e+00 +1.1945e+00 +3.6878e+00 -2.5379e+00 -8.4079e-01
6 +2.709334442e+01 +2.709334442e+01 +2.411033444e+02 +2.411033444e+02 +3.6760e-01 -2.4452e-01 -6.7522e-01 +1.1434e+00 +3.5464e+00 -5.5192e-01 +1.9747e-01 -4.5836e+00 -3.0719e+00 -5.3323e-01 -8.2729e-01 -9.3269e-01 -1.5503e-01 +6.3447e-01 +4.9085e+00 +1.9435e+00 +3.8545e+00 -1.5122e+00 +3.1816e+00 +1.7930e+00
96 +2.179708208e+01 +2.179708208e+01 +2.358070821e+02 +2.358070821e+02 +2.6103e+00 +7.9006e-01 -5.1300e-01 -6.1000e-01 -2.5351e+00 -1.4426e+00 -3.4721e-01 -9.8162e-01 +3.6715e+00 -3.6139e+00 +1.9352e+00 -6.8182e-01 +1.9916e+00 -2.7199e+00 -5.0890e-01 +4.2760e+00 -2.3327e+00 -1.3557e+00 +8.1511e-02 -2.4688e+00
1127 +1.374138267e+01 +1.374138267e+01 +2.277513827e+02 +2.277513827e+02 +8.8050e-03 -7.7287e-01 -7.2071e-01 +8.9134e-01 +2.4801e+00 -8.0365e-01 +9.2389e-03 -2.4312e+00 -2.2255e+00 -1.8014e+00 -8.2649e-01 -1.1854e-02 -8.4541e-01 +6.4596e-01 +5.0000e+00 +1.5619e-02 +4.2522e+00 -1.0415e-02 +2.2598e+00 +8.6019e-03
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.938194748e+01 +2.938194748e+01 -2.909805252e+01 -2.909805252e+01 +3.7083e+00 +3.5428e+00 +1.7567e+00 -2.3419e+00 +2.0186e+00 +2.7040e+00 +3.1698e+00 +1.5238e+00 +5.1041e-01 +3.6365e+00 -3.5860e-01 +1.3213e+00 -1.6461e+00 -1.2022e+00 -3.6126e+00 -2.2640e+00 -1.7565e+00 -2.1708e+00 -2.1503e+00 +4.5283e+00
50 +2.342347685e+01 +2.342347685e+01 -3.505652315e+01 -3.505652315e+01 +1.2405e+00 +1.1153e+00 -1.5409e+00 -1.0492e+00 -3.7350e+00 -1.2932e+00 +7.0644e-02 -3.8506e+00 -8.3929e-01 +1.3356e+00 +1.6966e+00 +1.7113e+00 -2.0955e+00 -3.8453e+00 -4.1882e+00 -2.3888e+00 -9.3489e-01 +1.6205e+00 -1.3552e+00 -2.0261e+00
156 +1.368084681e+01 +1.368084681e+01 -4.479915319e+01 -4.479915319e+01 -2.4805e-01 +4.2185e-01 +1.2790e+00 -2.2567e+00 +6.7316e-01 -1.6134e+00 +5.5238e-02 +2.7771e+00 -1.7120e+00 +1.0524e+00 -1.3445e+00 -3.8141e-01 +4.6305e-01 -3.4664e+00 +1.9898e+00 -2.9569e-01 +3.2124e+00 -1.5260e+00 -2.8527e+00 +2.4682e-01
856 +9.539380573e+00 +9.539380573e+00 -4.894061943e+01 -4.894061943e+01 -2.4821e-01 +4.2140e-01 +1.2776e+00 -2.2555e+00 +6.7375e-01 -1.6157e+00 +5.5238e-02 +2.7735e+00 -1.7115e+00 +1.0369e+00 -1.3438e+00 -3.8170e-01 +4.6354e-01 -3.4663e+00 +1.9893e+00 -2.9527e-01 +3.2139e+00 -1.5264e+00 -2.8537e+00 +2.4663e-01
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.728430188e+01 +8.728430188e+01 -5.257956981e+02 -5.257956981e+02 +3.6854e+00 +3.2970e+00 -1.2343e+00 -3.8667e+00 +2.0964e+00 +3.4758e+00 +2.7047e-01 +7.5649e-01 -2.8695e+00 +4.2500e+00 -4.8413e+00 +4.4304e+00 +3.8438e+00 +4.0510e+00 +1.2591e+00 +1.1304e+00 -4.8697e+00 +1.1530e-02 +3.0871e+00 -4.5737e+00
2 +5.142974618e+01 +5.142974618e+01 -5.616502538e+02 -5.616502538e+02 +1.3012e+00 -7.6144e-01 -7.1306e-03 -1.1311e+00 -1.3186e+00 -2.2033e+00 -2.2521e+00 -2.2281e+00 +7.6514e-01 +2.9659e+00 -2.1515e+00 -9.8464e-01 +7.4388e-01 +2.0168e+00 -4.3446e+00 +2.1401e+00 +3.7888e+00 -2.4810e+00 +4.5895e+00 +1.9589e+00
12 +2.074928624e+01 +2.074928624e+01 -5.923307138e+02 -5.923307138e+02 +4.2560e-01 -1.0131e+00 +1.1144e+00 -1.5224e-01 +6.8762e-01 +3.9682e+00 -4.0976e+00 -4.0944e+00 -9.8217e-01 -1.5326e-01 -3.9293e+00 -6.2496e-01 +1.2911e+00 +1.8883e+00 +5.5823e-01 -1.2557e+00 -3.5073e+00 +1.8318e+00 -1.0574e+00 -2.5641e+00
