% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.695637888e+07 +1.695637888e+07 +1.695616900e+07 +1.695616900e+07 -3.6628e+00 -1.0798e+00 -4.9991e+00 +4.9183e-01 -3.6623e+00 -2.9689e+00 +3.3570e+00 -2.0729e+00 +4.5539e+00 -2.0727e+00 +2.1032e+00 -2.6827e+00 +2.7164e+00 +1.6621e+00 +5.9969e-01 -4.8175e+00 -4.8515e+00 -3.9950e+00 -2.3912e+00 -5.6681e-01
4 +4.064727326e+06 +4.064727326e+06 +4.064517446e+06 +4.064517446e+06 -2.9070e+00 -4.8570e+00 +3.3026e+00 +2.8019e+00 -1.8268e+00 +3.6048e+00 -3.8731e+00 -2.4543e+00 +2.7395e+00 -3.6601e+00 +3.7653e+00 +2.0090e+00 -4.8217e+00 -2.6782e-01 -4.3509e+00 +2.4712e+00 -1.3141e+00 +3.6822e+00 -1.2619e+00 +1.9792e+00
117 +2.648691077e+06 +2.648691077e+06 +2.648481197e+06 +2.648481197e+06 +1.9885e+00 +2.0736e+00 -3.1643e+00 -4.0722e+00 +1.2610e+00 +3.1806e+00 +2.3386e+00 +4.5242e+00 -4.0415e+00 -1.8453e+00 +2.0351e+00 -2.5510e+00 +4.5194e+00 +1.0902e+00 +7.7934e-02 -2.0870e+00 -3.0124e+00 +1.0268e+00 -6.2150e-01 +2.1022e+00
508 +2.283989220e+06 +2.283989220e+06 +2.283779340e+06 +2.283779340e+06 -2.9070e+00 +4.8570e+00 +3.3026e+00 +2.8019e+00 -5.0000e+00 +1.0593e-38 +3.8731e+00 -2.4543e+00 -2.7395e+00 +3.6601e+00 -3.7653e+00 -5.9039e-39 +4.8217e+00 -5.0000e+00 -1.2786e-38 +7.2621e-39 -5.0000e+00 +3.6822e+00 -1.2619e+00 +1.9792e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.766659050e+07 +1.766659050e+07 +1.766649841e+07 +1.766649841e+07 -1.1573e+00 -3.1891e+00 +1.6954e+00 -5.5325e-01 +1.9353e+00 -4.6018e+00 -1.9665e+00 -7.3290e-01 -1.9429e+00 +2.6838e+00 +4.7269e+00 -3.2095e+00 +4.1180e+00 +1.5297e-01 +5.4174e-01 -4.6055e+00 +1.4185e+00 +3.2352e+00 +4.7431e+00 +1.5853e+00
3 +1.540212849e+07 +1.540212849e+07 +1.540203640e+07 +1.540203640e+07 +4.2381e+00 +1.0559e+00 +4.3487e+00 +2.4909e+00 -3.0006e+00 +3.0358e+00 +9.7393e-01 +3.9600e+00 -5.0049e-01 +9.7476e-02 -3.7753e-01 +1.1666e+00 +6.1635e-01 +2.0328e+00 +5.3236e-01 +1.3326e+00 -4.1529e+00 +3.7940e+00 -3.1922e+00 -3.0882e+00
4 +9.361217498e+06 +9.361217498e+06 +9.361125408e+06 +9.361125408e+06 -3.9097e-01 -3.0138e+00 -1.1430e+00 +1.7647e+00 +2.6851e+00 +3.3516e+00 +4.8984e+00 -3.8177e+00 +1.8326e+00 +2.4200e-01 -4.6756e+00 -1.4751e+00 +4.6527e+00 -3.3287e+00 -1.7947e+00 +1.8851e+00 -4.4353e+00 +9.1659e-01 -7.4759e-01 -3.0539e+00
40 +5.859873579e+06 +5.859873579e+06 +5.859781489e+06 +5.859781489e+06 -9.7189e-01 +3.5474e+00 -3.4985e+00 +7.4154e-01 +4.3160e+00 -3.3015e+00 -4.0622e+00 +3.9083e-01 +3.5123e+00 -2.9797e+00 +4.8139e+00 +3.1060e+00 -3.2116e+00 -8.7245e-01 +8.2597e-01 +4.5012e+00 +8.5307e-01 +2.0043e+00 +3.7430e-01 -1.9873e+00
51 +1.362064063e+06 +1.362064063e+06 +1.361971973e+06 +1.361971973e+06 -3.5528e+00 -1.3349e+00 -1.1673e+00 -1.5211e+00 +2.9941e-01 +4.5854e+00 -1.5360e+00 +4.8001e+00 +3.4689e+00 -1.6569e+00 +1.7188e+00 +7.6188e-02 +1.5899e+00 -2.3042e+00 +1.0633e+00 +4.5213e+00 -4.5174e+00 +4.2328e+00 +2.1684e+00 -1.3911e+00
