% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.096674778e+03 +3.096674778e+03 +3.126644778e+03 +3.126644778e+03 -3.8100e+00 -3.2198e+00 -1.2357e+00 -3.7523e+00 +9.9124e-02 +4.6230e+00 -4.1585e+00 +3.2151e+00 +8.3333e-01 +3.6580e+00 -2.4934e+00 +2.1595e+00 +1.6656e+00 +1.1782e+00 -7.3514e-01 -1.9246e+00 +5.9028e-01 +4.5614e+00 -3.2149e+00 -9.8421e-01
6 +2.428703727e+03 +2.428703727e+03 +2.458673727e+03 +2.458673727e+03 -1.3146e+00 +1.1595e+00 -5.7645e-01 -4.2867e+00 +4.0228e+00 +4.2509e+00 -2.0254e+00 -2.0265e+00 -4.8981e-02 +9.1671e-01 -3.2459e+00 -4.0102e+00 +2.2252e+00 -1.3160e+00 -1.4567e-01 +4.9004e+00 +4.2727e+00 +3.8944e+00 +4.1369e+00 +6.7259e-01
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.783750794e+03 +3.783750794e+03 +3.732040794e+03 +3.732040794e+03 -7.9987e-01 +4.6096e+00 +1.2503e+00 +4.8346e+00 -2.1897e-01 -2.5817e+00 -1.3197e+00 +1.3742e+00 +1.8608e+00 -2.9195e+00 +1.7481e+00 -1.9609e+00 +4.3861e+00 -2.9037e-01 -3.9575e+00 -2.4583e+00 +1.5761e+00 +4.2187e+00 -4.8215e+00 -1.7454e+00
15 +2.410358458e+03 +2.410358458e+03 +2.358648458e+03 +2.358648458e+03 +1.3945e+00 +1.8070e+00 -1.1665e+00 -3.5472e+00 +1.5926e+00 +7.3685e-01 +1.3821e+00 -1.8580e-01 -2.6355e+00 -2.7238e+00 -4.1136e-01 -2.4309e-01 -3.7585e-01 -3.4952e+00 -1.0598e-01 -1.3546e-01 -4.7327e+00 -1.0308e+00 +3.6218e-01 -2.3606e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.285906327e+03 +3.285906327e+03 +3.005956327e+03 +3.005956327e+03 -5.3114e-01 +1.3102e+00 +4.3032e+00 -1.7634e+00 -2.6020e+00 -2.9399e+00 +3.2454e+00 +3.6318e+00 -1.4370e+00 +4.7881e+00 -1.3258e+00 -2.6804e+00 +2.9241e+00 -4.5799e+00 +4.4853e+00 -4.3270e-01 +2.2586e+00 -3.1619e+00 -3.6920e-01 -4.4123e+00
24 +2.311540510e+03 +2.311540510e+03 +2.031590510e+03 +2.031590510e+03 -1.1674e-01 -3.8564e+00 +4.5090e+00 +2.2229e+00 -7.9909e-01 +3.5312e+00 -1.3933e+00 -3.8555e+00 +1.1116e+00 +5.6630e-01 +1.2727e+00 -4.3840e+00 -1.3593e+00 +1.5545e+00 +3.1388e+00 +3.5105e+00 -1.0244e+00 -8.4721e-02 +3.0684e+00 +3.4097e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.718570988e+03 +2.718570988e+03 +3.650560988e+03 +3.650560988e+03 -4.8902e-01 +2.0528e+00 +1.6468e+00 -1.3378e+00 -2.1789e-02 +1.3031e+00 -1.3994e+00 -4.4654e+00 -4.4591e-01 -2.6838e+00 +1.8702e+00 +1.2122e-01 -7.0802e-01 -3.6043e+00 +5.3615e-01 -2.8162e+00 +4.3184e+00 +3.2992e+00 +2.5041e+00 +2.6923e+00
