% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.435634324e+02 +2.435634324e+02 +2.266234324e+02 +2.266234324e+02 +3.4493e+00 -3.3935e-01 -1.7790e+00 +4.0988e+00 +1.8702e+00 +1.5494e+00 -3.2508e+00 +2.7688e+00 +3.9553e+00 +4.8655e+00 +3.7210e+00 +3.6784e+00 -4.8359e+00 -3.9224e+00 +3.2095e+00 +3.6761e+00 -4.7423e+00 -2.5632e+00 +1.2549e+00 -1.2149e+00
4 +1.041441901e+02 +1.041441901e+02 +8.720419011e+01 +8.720419011e+01 +2.6719e+00 +4.7837e+00 -1.2592e+00 -2.6404e+00 +1.9671e+00 +3.6568e-01 +5.1103e-01 -2.7073e+00 +2.5194e+00 -2.7018e+00 -4.6715e+00 +2.3320e+00 +1.9220e+00 -9.4236e-01 -2.0272e-01 +9.6048e-01 +4.3958e-01 +2.4469e+00 +3.9040e+00 +3.9953e+00
18 +7.349026763e+01 +7.349026763e+01 +5.655026763e+01 +5.655026763e+01 +2.7356e+00 +4.3398e-02 -4.3300e+00 -4.9925e+00 -2.7096e+00 -4.6024e+00 +2.7983e+00 -7.6575e-01 -1.4623e+00 -1.9091e+00 +3.5795e+00 -2.5376e+00 -4.6328e+00 +9.7279e-01 -1.8251e+00 +1.0085e+00 +6.7267e-01 -7.7516e-02 +3.1672e+00 -5.1891e-02
63 +5.402414920e+01 +5.402414920e+01 +3.708414920e+01 +3.708414920e+01 +1.9675e-01 -3.8717e+00 -4.6020e+00 -4.1434e+00 +5.0605e-01 -2.3048e+00 +3.1004e+00 -3.5325e+00 -2.0529e+00 +1.2757e+00 +4.9750e+00 -3.2192e+00 -4.8613e-01 -1.4573e+00 -2.1462e+00 +4.1873e+00 +2.7805e+00 +4.9240e+00 -3.1298e-01 +2.8226e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.155672354e+02 +1.155672354e+02 +1.343772354e+02 +1.343772354e+02 +2.9569e+00 -1.3981e+00 +2.5289e+00 +8.1115e-01 +3.2191e+00 -3.9765e+00 -3.9193e+00 +4.8148e+00 +2.4824e+00 +1.0597e+00 +7.9496e-01 -1.6167e+00 +4.7506e+00 -3.9312e+00 +2.1393e+00 +4.4718e+00 -1.2770e+00 -4.0929e+00 -8.6008e-01 -2.0263e+00
2 +7.377633019e+01 +7.377633019e+01 +9.258633019e+01 +9.258633019e+01 -6.7852e-01 -1.6326e+00 +3.5062e+00 +2.0030e+00 +2.0027e+00 -4.5946e+00 +1.4259e+00 -4.8077e+00 -1.4247e+00 +3.5073e-01 +3.9859e-01 -2.9809e+00 -2.4883e+00 -2.9954e+00 +5.0892e-01 -3.3789e+00 -4.6865e+00 -4.3989e+00 +4.0678e+00 +2.5993e+00
113 +6.235241418e+01 +6.235241418e+01 +8.116241418e+01 +8.116241418e+01 +1.3942e+00 +7.3470e-01 -1.7179e-01 +1.7811e+00 +8.0905e-01 -4.7761e+00 +2.5687e+00 -3.7061e+00 -2.6135e+00 -1.6587e+00 -4.5782e+00 -3.1234e+00 +3.0167e+00 +4.9359e+00 -1.9584e+00 +3.4747e+00 -3.4678e+00 -3.2436e+00 +4.3769e+00 -4.7993e+00
997 +3.633270079e+01 +3.633270079e+01 +5.514270079e+01 +5.514270079e+01 +2.6205e-308 -1.7633e-308 +4.1847e-309 -5.0000e+00 +3.5692e+00 -5.0000e+00 -1.3420e-308 +2.6694e-154 -3.2153e+00 +5.9607e-155 +5.7718e-155 +1.1112e-155 +1.8684e-308 -1.3588e-308 +9.4046e-155 +1.2738e-01 +2.0146e-154 +3.5511e+00 -9.7130e-309 +2.9493e-154
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
