% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.756223359e+08 +5.756223359e+08 +5.756217148e+08 +5.756217148e+08 +2.5872e+00 +3.1696e+00 -4.7092e+00 -2.3045e+00 +2.4914e+00 -1.1023e+00 -1.8507e+00 -2.9357e+00 -1.6253e+00 -3.7430e+00 +3.3520e+00 -6.9725e-01 +2.8191e+00 +1.9603e+00 -2.3121e+00 -3.3142e+00 +3.5835e+00 +2.9738e+00 -2.0235e+00 +3.7891e-02
23 +2.589398656e+08 +2.589398656e+08 +2.589392445e+08 +2.589392445e+08 -7.0635e-01 +1.6734e+00 -4.0634e+00 -2.7316e+00 -9.5006e-01 +3.3932e+00 -2.8487e+00 +3.5008e+00 -1.9634e+00 +4.5940e+00 -2.9843e-01 -3.8738e+00 +3.9209e+00 -2.1764e+00 +1.4066e-02 -5.7259e-01 +2.9564e+00 -2.2050e+00 -8.0114e-01 +3.9850e+00
88 +2.133438591e+08 +2.133438591e+08 +2.133432380e+08 +2.133432380e+08 -1.5728e+00 +4.5456e+00 -4.8940e+00 +1.6783e+00 -3.0443e-01 +3.7493e+00 +4.9570e+00 +2.2061e+00 +3.9767e+00 -5.9225e-01 -9.1604e-01 +1.4387e-01 +4.9138e+00 +3.3533e+00 +2.3561e+00 -2.3560e+00 -2.8827e-01 +3.0246e+00 -2.0461e+00 +3.7430e-01
1052 +1.543329535e+08 +1.543329535e+08 +1.543323324e+08 +1.543323324e+08 -6.0239e-10 +3.1696e+00 -4.7092e+00 +5.3657e-10 -5.8189e-10 +2.0000e+00 +5.0000e+00 +2.9357e+00 +2.0000e+00 -8.7149e-10 -7.8044e-10 +1.1642e-09 +2.8191e+00 +2.0000e+00 +2.3121e+00 -3.3142e+00 -8.3617e-10 +2.9738e+00 -2.0235e+00 +4.8351e-10
333 +1.273931574e+08 +1.273931574e+08 +1.273925363e+08 +1.273925363e+08 +1.2157e+00 +4.9078e+00 -1.8736e+00 +3.1380e+00 -1.3477e+00 -3.6721e+00 +1.0225e+00 -2.4584e-01 +1.1900e+00 -2.6193e+00 -3.6754e-01 +1.6390e+00 +2.6164e+00 +4.9876e+00 -1.2473e+00 -4.6902e+00 -3.4113e+00 +4.1513e+00 +3.0282e+00 -9.0886e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.960822793e+10 +5.960822793e+10 +5.960822767e+10 +5.960822767e+10 -2.4378e+00 -4.1417e+00 -3.9461e-02 -2.3061e+00 -1.1113e+00 +2.6824e-01 -1.6296e+00 +1.1929e+00 +3.0860e+00 +2.2676e+00 +2.3442e+00 -2.6969e+00 -2.2870e+00 +1.4818e+00 +3.6936e+00 -3.4075e+00 +3.8271e+00 +3.6995e+00 -2.1084e+00 +1.3520e+00
3 +1.476311580e+09 +1.476311580e+09 +1.476311325e+09 +1.476311325e+09 -4.5331e+00 -1.6059e+00 +2.7634e+00 -3.5698e+00 -5.2424e-01 -2.4772e+00 -3.5540e+00 +3.8688e+00 -3.7562e+00 -2.1515e+00 +2.5401e+00 +4.5180e+00 -3.8582e+00 +3.2921e+00 -1.6172e+00 +1.8154e+00 -1.6091e+00 +2.4077e+00 +4.4077e+00 +4.9936e+00
4 +6.854517361e+08 +6.854517361e+08 +6.854514813e+08 +6.854514813e+08 +3.4717e+00 +2.2521e+00 -2.1597e+00 -5.2329e-01 +4.7059e+00 +6.7057e-02 +1.9237e+00 +3.4451e+00 +1.7161e+00 -1.9968e+00 +1.9128e+00 -1.8505e+00 -1.2229e+00 -2.4610e+00 -1.6272e+00 +1.1908e+00 +4.3386e-01 +8.4832e-02 -4.1103e+00 +1.2222e-01
10 +3.970831740e+08 +3.970831740e+08 +3.970829192e+08 +3.970829192e+08 +3.3842e+00 -3.2389e+00 -4.3732e+00 -3.9964e+00 -3.0896e+00 -1.7758e+00 +1.3692e+00 +7.8938e-01 +3.4012e+00 +2.2852e+00 -2.6989e+00 +2.2759e+00 -2.1406e+00 +3.2657e+00 -3.1217e+00 -4.1053e+00 +2.9542e+00 -3.1175e-01 +3.4848e+00 -7.7082e-01
