% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.089461056e+01 +7.089461056e+01 +1.422446106e+02 +1.422446106e+02 +2.7867e+00 +1.3482e+00 +4.7271e+00 +1.9899e+00 +2.3579e+00 -2.3432e+00 +4.2358e+00 -8.9963e-01 +2.5831e+00 -3.1828e-01 -4.6753e+00 +4.1536e+00 +3.7681e+00 -1.5732e+00 -2.4186e+00 +4.6437e+00 +4.5268e+00 -4.5183e+00 -6.8435e-02 -2.6910e+00
9 +6.008892465e+01 +6.008892465e+01 +1.314389246e+02 +1.314389246e+02 -2.1422e+00 -8.3488e-02 +2.1506e+00 -3.1089e+00 +3.8176e+00 -3.1298e+00 +2.6304e+00 -1.0713e+00 -3.6509e+00 -2.6737e+00 -3.8501e+00 +2.1343e+00 -2.2578e+00 -3.7803e+00 -1.9788e+00 +2.0938e+00 -4.9470e+00 +4.6962e+00 +4.9398e+00 +3.0363e+00
34 +2.016009375e+01 +2.016009375e+01 +9.151009375e+01 +9.151009375e+01 -1.9197e+00 +4.0935e+00 +4.6374e+00 -3.8444e+00 +4.1073e+00 +1.4275e+00 +2.1883e-01 +4.1669e+00 +3.1007e+00 +1.4026e+00 -4.9667e+00 +4.9944e+00 +2.7804e+00 +2.1739e+00 -2.1009e+00 +7.1478e-01 -1.8178e+00 +4.2297e-01 +4.2132e+00 -4.2312e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.548788076e+01 +6.548788076e+01 -2.897321192e+02 -2.897321192e+02 -4.6122e+00 +3.2728e+00 +2.0662e+00 +4.6607e+00 -4.1747e+00 +3.9794e+00 +4.6197e+00 +2.5109e+00 +6.7577e-01 -3.0083e+00 +4.7319e+00 +2.2383e+00 +3.9853e+00 +8.1503e-02 +1.7909e+00 -2.9319e+00 +1.7814e+00 -3.2109e+00 +3.6740e+00 +2.9218e+00
15 +6.115327655e+01 +6.115327655e+01 -2.940667234e+02 -2.940667234e+02 +5.4065e-01 +2.9973e+00 +2.2311e+00 -2.9199e+00 +5.3791e-01 -4.5017e+00 -2.6587e+00 +4.1085e+00 -2.2107e+00 +3.7411e+00 +1.8646e+00 +7.7612e-01 -2.0261e+00 +2.4009e+00 -4.2025e+00 +4.2293e+00 +2.6503e+00 -3.1495e+00 +1.5341e+00 -4.8947e+00
178 +2.742311818e+01 +2.742311818e+01 -3.277968818e+02 -3.277968818e+02 -3.2935e+00 -4.3476e+00 +3.6039e+00 -2.5696e+00 -1.6263e+00 -2.0077e+00 +8.6242e-01 +3.8973e+00 -3.2042e+00 +4.3770e+00 +3.5274e-01 -4.6651e+00 -2.7699e+00 -3.2649e+00 +1.4006e+00 +3.1489e+00 -3.3227e+00 -1.9343e+00 +2.2793e+00 -1.4036e-02
815 +2.370351981e+01 +2.370351981e+01 -3.315164802e+02 -3.315164802e+02 -3.3053e+00 -4.2900e+00 +3.6216e+00 -2.6148e+00 -1.6300e+00 -2.0547e+00 +8.6886e-01 +3.8855e+00 -3.2491e+00 +4.4336e+00 +3.5523e-01 -4.6686e+00 -2.7513e+00 -3.3070e+00 +1.3949e+00 +3.1723e+00 -3.3640e+00 -1.9261e+00 +2.2687e+00 -1.4086e-02
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.080606241e+01 +5.080606241e+01 +1.499760624e+02 +1.499760624e+02 +2.4206e+00 +4.8123e+00 +2.3218e+00 -4.8855e+00 +1.0906e+00 +4.7940e+00 +3.5558e-01 +8.8024e-01 +2.6367e+00 +6.4824e-01 +4.2706e+00 -5.7390e-01 -1.6913e+00 -3.1565e+00 +3.8291e+00 -1.2938e+00 +8.6916e-01 -1.6590e+00 +3.6943e+00 +3.2497e+00
27 +3.834208851e+01 +3.834208851e+01 +1.375120885e+02 +1.375120885e+02 +1.8569e+00 -3.3283e-01 -3.1794e+00 +2.3561e+00 -2.3569e+00 +1.5021e+00 -1.9009e+00 +3.7839e+00 -3.5911e+00 +2.8146e+00 +4.3149e+00 +2.1759e+00 -3.8873e+00 -2.7092e+00 +1.0028e+00 -8.5505e-01 -2.5421e+00 +3.1128e+00 -2.0366e+00 -5.0588e-01
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.190515622e+01 +6.190515622e+01 -4.560048438e+02 -4.560048438e+02 +3.7532e+00 +5.4138e-01 -2.7508e+00 +1.4746e+00 -3.2219e-01 +1.9111e+00 -3.1254e+00 +1.0470e+00 +2.8866e+00 +2.3786e+00 -1.6907e+00 -1.8141e+00 -4.4560e+00 -4.8544e+00 +3.6561e-01 -2.0809e+00 -1.0193e+00 -1.1458e+00 -4.0923e+00 -1.7384e+00
76 +3.916074305e+01 +3.916074305e+01 -4.787492570e+02 -4.787492570e+02 +5.0407e-01 -3.3288e+00 -4.7058e+00 -4.2633e+00 -3.1047e+00 -4.5868e+00 +2.4692e+00 +7.7931e-01 -3.8506e+00 -3.2600e+00 -2.6605e+00 -1.1767e+00 +8.9318e-02 +3.9263e-01 -3.5682e+00 +4.0818e+00 +1.8716e+00 +1.6406e+00 +3.0287e+00 -1.7751e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.853719256e+01 +7.853719256e+01 +2.132719256e+01 +2.132719256e+01 +2.6112e+00 -1.6603e-01 -3.6785e+00 +2.5805e+00 -2.2380e+00 +6.5735e-01 +3.4481e-01 -4.7900e-01 -3.1637e+00 -1.0130e+00 -5.0405e-01 -4.3856e+00 +4.0575e-01 -6.0225e-01 -3.1923e-01 -4.7670e-01 -6.1316e-01 -1.7326e+00 -2.8454e+00 +4.9079e+00
11 +5.780126830e+01 +5.780126830e+01 +5.912683012e-01 +5.912683012e-01 +2.5631e+00 +9.8103e-01 -3.7063e+00 -1.0866e+00 -4.5172e+00 -2.1983e+00 -4.0385e+00 +2.2418e+00 +4.2121e-01 -4.0176e+00 +4.7653e+00 +1.5862e+00 -2.8787e-01 -2.8507e+00 -2.6618e+00 +3.7306e+00 +5.9563e-02 +4.0269e-01 -3.4849e+00 +4.6545e+00
73 +3.096366184e+01 +3.096366184e+01 -2.624633816e+01 -2.624633816e+01 -1.6413e+00 -1.8288e+00 -8.8500e-01 +1.3050e+00 -4.1402e+00 -3.1670e+00 -2.1012e+00 +2.8611e-01 +2.8767e+00 +2.0666e+00 +2.9653e+00 -3.4778e-02 +3.5109e+00 -1.0589e+00 -2.2308e+00 -3.0324e+00 +4.8113e+00 -5.0558e-01 -4.3224e+00 -3.9552e+00
% function evaluation | noise-free fitness - Fopt (6.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.230311827e+01 +7.230311827e+01 +7.907311827e+01 +7.907311827e+01 +4.9536e+00 -1.7965e+00 -4.2974e+00 -7.3221e-02 +3.6453e+00 +5.4895e-01 +1.1806e+00 -4.2584e+00 -1.2092e+00 +4.5285e+00 +4.5149e+00 -2.3171e+00 +3.3552e+00 -8.9153e-01 +4.3138e+00 +9.8805e-01 -1.0512e+00 +1.8818e+00 +1.2009e+00 -5.0351e-01
6 +5.936024642e+01 +5.936024642e+01 +6.613024642e+01 +6.613024642e+01 +2.2113e+00 -2.5052e+00 -1.2576e+00 -7.4761e-02 -6.5904e-01 -2.1192e-01 +7.4720e-01 -1.5690e+00 +6.6902e-02 +1.5216e+00 -3.3804e-01 -2.0106e+00 -2.4451e+00 -2.9570e+00 -3.5343e+00 +2.7851e+00 +4.9954e+00 +1.9783e+00 +1.3405e+00 +3.0418e+00
115 +2.692704285e+01 +2.692704285e+01 +3.369704285e+01 +3.369704285e+01 +3.0349e+00 +3.5265e+00 -9.0222e-01 -4.6862e+00 -4.5804e+00 +3.3673e+00 -4.8205e+00 -6.6154e-01 -1.0539e+00 +1.2616e+00 +2.9086e+00 -2.6993e+00 +5.4132e-01 -4.2219e-01 +5.9694e-01 -2.5030e-01 -1.1869e+00 +3.4881e+00 +2.7776e+00 +2.0160e-01
% function evaluation | noise-free fitness - Fopt (-1.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.655540371e+01 +7.655540371e+01 +6.577540371e+01 +6.577540371e+01 +3.3626e+00 -4.4749e+00 -1.9696e+00 +3.2744e+00 +4.9973e+00 -3.8053e+00 +3.6182e+00 -1.9559e+00 +2.5096e+00 -6.7517e-01 -1.7110e+00 +2.2949e+00 +3.1525e+00 +3.5691e+00 +3.8185e+00 +1.3597e+00 -4.6143e+00 -1.9749e+00 -4.0757e+00 +2.2740e+00
5 +5.925029441e+01 +5.925029441e+01 +4.847029441e+01 +4.847029441e+01 -2.6000e+00 +3.2755e+00 +2.9820e+00 -3.8866e+00 +4.1236e+00 -1.3892e-01 +1.8142e+00 +4.8860e+00 +4.6126e+00 -1.2742e+00 +3.2575e+00 -3.5677e+00 -2.0251e+00 -1.9613e+00 +1.5159e+00 -2.5341e+00 -4.1422e+00 +3.4377e+00 -1.8180e+00 +2.1235e+00
103 +3.768523097e+01 +3.768523097e+01 +2.690523097e+01 +2.690523097e+01 -3.7973e+00 -4.9814e+00 -1.8267e-01 -5.1741e-01 +1.4216e+00 -1.3335e+00 +8.9453e-01 +1.9289e+00 -3.5192e+00 -1.5226e+00 +3.8307e+00 +2.8521e+00 +1.2583e+00 -2.9237e+00 -1.9592e+00 -3.3957e-02 -3.3169e+00 -4.9480e+00 -1.4520e+00 -3.2157e+00
% function evaluation | noise-free fitness - Fopt (-1.645900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.663777766e+01 +8.663777766e+01 -7.795222234e+01 -7.795222234e+01 -2.6622e+00 +4.3013e+00 -3.2533e+00 -3.3950e+00 -3.9541e+00 +3.5302e+00 -1.7682e+00 -3.7797e+00 -3.3225e+00 +3.3565e+00 +8.3601e-01 +3.4186e+00 -1.0838e+00 -2.9767e+00 -3.1556e+00 -8.7997e-01 -1.4654e+00 +1.4951e+00 +2.4541e-01 +2.6158e+00
5 +5.511345642e+01 +5.511345642e+01 -1.094765436e+02 -1.094765436e+02 +4.3828e+00 +4.5944e+00 +5.3549e-01 +3.4527e+00 -1.2367e+00 +2.1119e+00 -1.6237e+00 +9.2892e-01 -9.5792e-01 -3.7757e-01 -1.1443e+00 -3.7802e+00 -1.7236e+00 -2.4036e+00 +2.4146e+00 +2.9177e+00 +9.6632e-01 +4.3318e+00 -2.6929e+00 +1.1817e+00
36 +3.760534865e+01 +3.760534865e+01 -1.269846514e+02 -1.269846514e+02 +1.7129e+00 -1.6667e+00 +2.3477e+00 -1.1746e+00 +1.9464e+00 +4.3189e-01 -4.0565e+00 +7.4124e-01 +4.8241e+00 +4.9130e+00 -6.8064e-01 +4.2024e+00 +2.9238e+00 -3.7113e+00 -4.3880e+00 -4.4075e+00 -1.3213e+00 -4.7935e+00 +4.7874e+00 +3.8514e+00
% function evaluation | noise-free fitness - Fopt (-1.429800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.735808557e+01 +7.735808557e+01 -6.562191443e+01 -6.562191443e+01 -8.9119e-01 -1.3485e+00 -2.6915e+00 -3.4225e+00 -9.1827e-01 +9.8465e-01 -7.3879e-01 -2.8588e+00 +2.0817e+00 -4.5715e+00 +3.2634e+00 +8.3050e-01 -6.6918e-01 +1.3342e+00 -3.1771e+00 -1.7250e+00 -3.4293e+00 -3.5609e+00 -2.0088e+00 +4.3134e+00
17 +4.911828300e+01 +4.911828300e+01 -9.386171700e+01 -9.386171700e+01 +4.2894e+00 -2.5891e+00 +4.6220e+00 -4.5970e+00 +3.5562e+00 +1.0936e+00 -3.1215e+00 +4.9491e+00 -3.1445e+00 -3.3358e+00 +2.4908e+00 +3.6469e+00 +3.5681e+00 +1.9346e+00 +1.8406e+00 +5.2038e-01 +8.1989e-01 +4.3597e+00 -2.0955e+00 -2.9425e+00
32 +3.881089530e+01 +3.881089530e+01 -1.041691047e+02 -1.041691047e+02 +3.7245e+00 +2.7120e+00 +3.7408e+00 +7.7937e-01 +1.6009e-02 +2.4279e+00 +1.7134e+00 -1.0314e+00 +4.7227e+00 -4.7792e+00 -4.6468e+00 +4.6388e+00 -3.4796e+00 -5.8480e-01 +1.2155e+00 -4.6506e+00 +2.0266e+00 -3.3691e+00 +1.8566e-01 +1.8191e+00
