% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.486714757e+05 +7.486714757e+05 +7.488206257e+05 +7.488206257e+05 -4.6419e+00 -1.7255e+00 +2.5948e+00 +5.4877e-01 +2.3659e+00 -2.0681e+00 +1.8353e+00 -4.9362e+00 +4.9292e+00 +1.4394e+00 -1.4532e+00 +3.0613e+00 +4.3912e+00 -4.3235e+00 +1.1233e+00 +3.9811e+00 -4.7744e+00 +7.8944e-02 +4.7218e+00 -5.5618e-02
2 +5.891870335e+05 +5.891870335e+05 +5.893361835e+05 +5.893361835e+05 +1.5228e+00 +2.8513e-01 +1.6858e+00 +2.9569e+00 +1.1335e+00 +2.2633e+00 -4.4566e+00 -2.0702e+00 -3.3716e+00 -2.0705e+00 +3.2299e+00 -3.7698e+00 -2.3851e+00 +3.2448e+00 -4.7068e+00 +2.0634e+00 -3.9897e+00 -5.2358e-01 +4.2473e+00 +3.0609e+00
5 +3.410307383e+05 +3.410307383e+05 +3.411798883e+05 +3.411798883e+05 +3.5221e-01 -3.9276e+00 +4.0528e+00 -1.5922e+00 -5.3845e-01 +3.6406e+00 +4.0761e-01 +9.3598e-01 +3.3883e+00 +3.2978e+00 +2.1703e+00 +2.5915e+00 +6.4546e-01 +2.7791e+00 -2.4180e+00 -4.0907e+00 -1.3684e+00 -4.3738e+00 -1.9200e+00 +2.9112e+00
11 +1.430099695e+05 +1.430099695e+05 +1.431591195e+05 +1.431591195e+05 -1.9956e+00 -3.9142e+00 -2.8577e-01 +4.0673e+00 -3.2013e+00 -1.6750e+00 -2.7748e+00 -1.0873e+00 -1.5273e+00 -6.1219e-01 -4.3666e+00 -3.1344e+00 -1.6251e-01 -5.6870e-01 -2.7013e-01 -3.5252e+00 -4.2593e+00 -4.4129e+00 +2.8375e+00 +1.6747e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.558606705e+05 +3.558606705e+05 +3.548606705e+05 +3.548606705e+05 +1.3491e+00 -2.5308e+00 +7.4420e-01 +2.6070e+00 -4.5656e+00 -2.9105e+00 -1.6059e+00 +1.9219e+00 +1.4863e-02 +4.4148e+00 +2.3501e+00 -2.9838e+00 -2.9207e+00 +6.5245e-01 -1.5617e+00 +3.3997e+00 +3.7170e-01 -3.5711e+00 -9.6979e-01 -3.8820e-02
19 +2.439319983e+05 +2.439319983e+05 +2.429319983e+05 +2.429319983e+05 -2.8740e+00 -3.3106e-01 -2.0106e+00 -4.5000e+00 +3.7654e+00 +4.1122e+00 +3.9302e-01 -1.7091e+00 -1.4242e+00 +3.6419e+00 -1.6962e+00 -3.3939e+00 -3.9430e+00 -3.4940e+00 -2.0363e-01 -1.5827e+00 +7.1374e-01 -4.4531e+00 -1.6884e+00 -1.4919e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.386182270e+05 +5.386182270e+05 +5.387168470e+05 +5.387168470e+05 -1.8866e+00 -4.5093e+00 -2.5414e+00 +1.0369e+00 -2.4603e+00 -2.6310e+00 -4.6045e+00 -2.8988e+00 -4.0333e+00 -4.3406e+00 +4.6335e+00 +2.6413e+00 -3.2212e+00 +3.1150e+00 -5.3947e-01 -3.1141e+00 -4.9589e+00 +9.0010e-01 +4.6174e+00 +3.9587e+00
5 +3.026586415e+05 +3.026586415e+05 +3.027572615e+05 +3.027572615e+05 +1.3002e+00 -5.8915e-01 +4.3290e+00 +1.6067e+00 +4.7115e+00 +1.4020e+00 +1.2914e+00 +7.8593e-01 -2.3627e+00 -1.7328e+00 +2.3308e+00 +1.7253e+00 +3.8099e+00 +1.0312e+00 +1.9161e+00 -1.3914e+00 +9.6113e-01 +2.5517e+00 +4.9207e+00 -6.9231e-01
32 +1.274687813e+05 +1.274687813e+05 +1.275674013e+05 +1.275674013e+05 -3.3725e+00 -1.4993e+00 +2.1503e+00 -4.1371e-01 +3.4865e+00 +4.2668e+00 +2.5958e-01 -3.2161e+00 -2.3266e+00 -9.5336e-01 -5.8273e-01 -2.3766e+00 +3.7553e+00 -9.2632e-01 -2.0691e+00 -4.2708e+00 -4.6432e+00 +3.1947e+00 -2.1705e+00 +2.6774e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.534972126e+05 +8.534972126e+05 +8.534500626e+05 +8.534500626e+05 -2.2510e-01 -4.6391e+00 +3.6852e+00 -3.0712e+00 +2.7197e+00 +2.6746e+00 +4.2980e+00 -2.1134e+00 -1.0095e+00 +2.1356e+00 +2.7899e+00 -4.3063e+00 +1.4968e+00 -4.2228e+00 +2.8840e+00 -3.6715e+00 -1.1378e+00 +4.0624e+00 -4.3829e+00 -1.2307e+00
8 +3.481540637e+05 +3.481540637e+05 +3.481069137e+05 +3.481069137e+05 -4.8114e+00 -2.3449e+00 -3.5633e+00 +2.8886e+00 +2.5771e+00 +3.8217e-01 -1.1580e+00 -4.1502e+00 +2.8360e+00 -4.4361e+00 +1.7449e+00 -1.9000e+00 +3.8757e+00 -4.6463e+00 -3.6908e+00 -1.9938e+00 -4.2373e+00 -7.1017e-01 -3.6828e+00 -4.7328e+00
28 +2.064488354e+05 +2.064488354e+05 +2.064016854e+05 +2.064016854e+05 -2.2450e+00 -4.0657e+00 -2.0148e+00 -4.8757e+00 -1.8925e+00 +2.3404e+00 -4.5340e-01 -1.8903e+00 -4.3639e+00 +2.9135e+00 -1.8271e-01 -4.6321e+00 +4.7116e+00 -3.7670e+00 +5.3537e-01 -3.6460e+00 +1.9878e+00 +3.3929e-01 +2.8781e+00 +2.1500e+00
176 +1.113329786e+05 +1.113329786e+05 +1.112858286e+05 +1.112858286e+05 -4.7522e+00 -4.1169e+00 -1.2129e-01 -3.1246e+00 +1.8946e+00 +7.0122e-01 +9.0132e-01 -4.3844e+00 -4.3009e+00 -4.6637e+00 -1.0784e+00 -1.7352e+00 -5.6569e-01 +2.1309e-02 -1.8752e-01 +9.7364e-01 -3.8638e+00 -6.6980e-01 -3.4393e+00 -9.3671e-01
687 +9.910627939e+04 +9.910627939e+04 +9.905912939e+04 +9.905912939e+04 -1.1832e+00 -4.7419e+00 -2.3638e+00 +6.7904e-313 +4.8068e-01 -1.2889e-308 +0.0000e+00 +0.0000e+00 -1.0659e+00 -4.5074e+00 -2.8482e+00 +2.4456e-308 -1.8351e-308 -2.6457e+00 -2.0852e-01 -2.7793e-309 -5.0000e+00 -4.7773e+00 -5.0000e+00 +4.4597e+00
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.973654556e+05 +9.973654556e+05 +9.974029756e+05 +9.974029756e+05 -4.6170e+00 +2.8314e+00 -8.5272e-01 -2.8902e+00 -3.6755e+00 +4.0047e+00 -1.5203e+00 +8.9343e-01 -1.1842e+00 -7.2639e-01 +7.4918e-01 -4.5668e+00 +2.0331e+00 -4.2835e+00 +3.8666e+00 +9.0891e-01 +4.0897e+00 +4.6113e+00 +1.1623e+00 +3.2569e-01
2 +4.175735701e+05 +4.175735701e+05 +4.176110901e+05 +4.176110901e+05 +1.4868e+00 -9.1100e-01 +2.2944e+00 +2.0298e+00 +4.1668e+00 -3.1052e+00 -3.6344e+00 +2.7592e-02 +2.1322e+00 -4.8286e+00 -3.7696e+00 +4.5787e+00 +2.2158e+00 +2.4923e+00 +1.2698e+00 +2.8667e+00 +3.0716e+00 +4.8788e-01 -1.8046e+00 -2.7877e+00
4 +1.971679658e+05 +1.971679658e+05 +1.972054858e+05 +1.972054858e+05 +2.4485e+00 -4.5677e+00 -2.0100e+00 -1.0505e+00 -2.3895e+00 +3.8091e+00 -2.4608e+00 +3.2861e+00 +1.4561e+00 +2.4761e+00 -1.9226e+00 +1.4749e+00 -1.8014e+00 +2.3255e+00 -3.8743e+00 -1.6739e+00 -4.9335e+00 -4.7593e+00 +1.7195e+00 -3.2931e+00
21 +1.151321466e+05 +1.151321466e+05 +1.151696666e+05 +1.151696666e+05 -1.7458e+00 -2.1275e+00 -6.9730e-01 -3.8302e+00 +4.1334e+00 +3.1600e+00 -2.3456e+00 -1.3655e-01 -1.8193e+00 +1.3081e+00 -1.0550e+00 +4.5708e+00 +1.6816e+00 -1.1147e+00 +2.5994e-01 -1.9270e+00 -1.3843e+00 -1.3624e+00 -1.9509e+00 +4.8828e+00
% function evaluation | noise-free fitness - Fopt (-2.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.403639599e+05 +2.403639599e+05 +2.403341599e+05 +2.403341599e+05 +1.4343e+00 -4.5079e-01 -1.4991e+00 +3.9400e+00 +2.4922e+00 -4.9072e+00 -3.4184e+00 -2.3420e+00 +3.9680e+00 -8.3134e-01 +2.0480e+00 -2.1589e+00 -4.4554e+00 +1.7083e+00 +4.9950e-01 -1.7527e+00 +1.5850e+00 -3.3045e+00 -4.3713e+00 +2.3963e+00
15 +1.234482190e+05 +1.234482190e+05 +1.234184190e+05 +1.234184190e+05 +5.5111e-01 +6.4124e-01 +2.4745e+00 +1.3857e+00 -1.8751e+00 +1.8775e+00 +3.1761e+00 -4.1343e+00 -3.1905e+00 -1.3602e+00 -7.3775e-01 -4.2167e+00 +1.2489e+00 +3.9010e+00 -4.3994e-01 -2.7919e+00 -1.5273e+00 -3.5062e-01 -2.0936e+00 +3.1814e+00
% function evaluation | noise-free fitness - Fopt (8.140000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.663512707e+05 +1.663512707e+05 +1.664326707e+05 +1.664326707e+05 +2.5594e+00 -4.5254e+00 +1.5511e+00 -8.2450e-01 +4.4348e+00 -1.8432e+00 -2.6736e+00 -1.0050e+00 +4.1869e-01 +2.3591e+00 -2.9537e+00 -1.3717e+00 -4.8187e+00 +9.4037e-01 -3.8587e+00 -2.6201e+00 -2.1330e+00 +1.1211e+00 -5.3098e-01 -2.2351e+00
6 +1.557345719e+05 +1.557345719e+05 +1.558159719e+05 +1.558159719e+05 +2.3912e-01 -1.8231e+00 -1.2647e+00 +1.7892e+00 -3.6566e+00 +6.8947e-01 +3.1240e+00 -1.9960e+00 -1.8133e+00 +1.7346e+00 -1.4717e+00 -1.7960e+00 -2.8117e+00 -1.5226e+00 -3.7563e+00 +8.8144e-01 -1.7143e+00 +2.0503e+00 +3.4731e+00 -3.9748e+00
% function evaluation | noise-free fitness - Fopt (-1.835000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.422745603e+05 +2.422745603e+05 +2.422562103e+05 +2.422562103e+05 +2.6084e+00 +1.1543e+00 +3.3575e+00 +1.1778e+00 -4.5299e+00 -3.6207e+00 -1.0681e+00 +1.9600e+00 +2.0546e+00 +2.2247e+00 -4.4895e+00 -2.7835e+00 +4.9066e+00 +4.3232e-01 +3.6737e+00 -2.7713e+00 +1.5534e+00 +3.0607e+00 +1.3306e+00 +3.7444e+00
109 +1.369422928e+05 +1.369422928e+05 +1.369239428e+05 +1.369239428e+05 +3.6159e+00 +1.5188e+00 +2.9610e+00 +2.2238e+00 -2.6278e+00 +3.8525e+00 +1.0004e+00 -4.1989e+00 -1.0037e+00 -1.5884e+00 -2.0546e+00 -7.3211e-01 +2.9732e+00 -1.0741e+00 -2.0120e+00 -2.4344e+00 -2.1268e+00 +2.1865e+00 -2.3174e+00 +3.7280e+00
160 +2.745969929e+04 +2.745969929e+04 +2.744134929e+04 +2.744134929e+04 -2.2088e-02 -1.2220e+00 +1.5882e+00 +5.3576e-01 -3.0838e+00 +9.3978e-01 +1.5544e-01 -6.0667e-01 -3.0748e+00 -1.0383e+00 -1.4679e+00 -4.8503e+00 -1.5890e+00 +1.7588e+00 +3.0786e+00 +4.0967e+00 +5.6216e-01 -4.6105e-01 +5.1613e-01 +1.4003e+00
% function evaluation | noise-free fitness - Fopt (-9.987000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.651599734e+05 +2.651599734e+05 +2.650601034e+05 +2.650601034e+05 +3.4326e+00 -3.5327e+00 -9.8864e-01 +3.9813e+00 -4.8343e+00 -1.4305e+00 -2.6910e+00 +1.7195e+00 +1.6483e-01 -7.5873e-02 +3.7339e+00 -7.6626e-01 -6.9653e-02 -7.4361e-01 -3.9922e+00 -3.3995e+00 -6.3514e-01 +3.5644e-01 +1.2491e+00 -9.5791e-01
2 +2.366203707e+05 +2.366203707e+05 +2.365205007e+05 +2.365205007e+05 +2.6074e+00 -4.9677e+00 -1.4109e+00 -1.3948e+00 -4.2673e+00 -4.6363e-01 -9.3941e-02 -1.0727e+00 +7.6804e-01 -3.7840e+00 +8.3076e-01 +2.6491e+00 +3.0057e+00 +2.9836e+00 -2.0218e+00 -3.5610e+00 -2.2272e+00 +4.1146e+00 -2.9133e+00 +1.4558e+00
48 +9.668671808e+04 +9.668671808e+04 +9.658684808e+04 +9.658684808e+04 +3.1694e+00 -1.4170e+00 -1.2148e+00 +2.7572e+00 +2.4635e-01 +2.7746e-01 +5.7208e-01 -1.9807e+00 +1.7067e+00 -1.4093e-01 +2.7788e+00 +2.1319e+00 -1.3473e+00 +2.7256e+00 -3.3896e+00 +3.7469e+00 +4.1145e+00 +2.2342e+00 -1.5699e+00 -1.5493e+00
96 +3.558949035e+04 +3.558949035e+04 +3.548962035e+04 +3.548962035e+04 -6.7720e-01 -4.7419e+00 -3.5974e+00 -3.2540e-01 +1.1701e+00 -2.4977e+00 -4.1406e-01 -1.7479e+00 -3.1478e+00 -1.9674e+00 +4.3030e+00 -2.2562e+00 -2.1586e+00 -7.9436e-01 -4.0430e+00 -6.1303e-01 +8.4187e-01 -3.9776e-01 +1.1370e-01 +4.1202e-01
% function evaluation | noise-free fitness - Fopt (7.680000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.786644194e+05 +2.786644194e+05 +2.786720994e+05 +2.786720994e+05 -4.0714e+00 +1.1868e+00 +5.5038e-01 +4.3913e+00 +4.0481e+00 -2.1551e+00 +1.5950e+00 +2.3430e+00 +1.0986e+00 +1.0634e+00 -2.1199e+00 -1.1732e-02 +1.7161e+00 +3.2662e+00 -4.2607e+00 -2.7601e+00 -2.7676e+00 +2.6899e-01 -4.7779e+00 -3.1943e+00
10 +1.275270114e+05 +1.275270114e+05 +1.275346914e+05 +1.275346914e+05 +1.4443e+00 +2.7687e-01 -2.9374e+00 +2.2627e-01 +5.9538e-01 -8.2589e-01 -2.2873e+00 +3.4296e+00 +2.1927e-01 -3.2870e+00 -3.6742e+00 +3.6278e+00 -4.7475e+00 -4.8442e+00 -2.2961e+00 -3.0515e+00 +1.3855e+00 +2.0155e+00 +9.0592e-01 -3.8305e+00
% function evaluation | noise-free fitness - Fopt (-1.809300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.028941445e+06 +1.028941445e+06 +1.028760515e+06 +1.028760515e+06 +2.6524e+00 -3.7214e+00 +3.2737e-01 +2.0982e+00 -2.9569e+00 +9.5908e-01 +4.7245e+00 -4.4480e+00 +1.5072e+00 -3.1908e+00 -1.6509e+00 -2.2708e+00 +3.0043e-01 +3.6946e+00 +9.7543e-01 -4.4784e+00 +1.8822e+00 -4.8212e+00 +4.3155e+00 +3.1591e+00
2 +4.001006620e+05 +4.001006620e+05 +3.999197320e+05 +3.999197320e+05 -3.6141e+00 -4.1843e-01 +1.6952e+00 +1.4088e+00 -2.5121e+00 -1.3994e+00 +1.5194e+00 -1.8060e+00 -3.0761e+00 -2.7105e+00 +1.9436e+00 +2.7998e+00 +3.0128e+00 +3.0061e+00 +4.5984e+00 +4.9731e+00 +4.1215e+00 -4.2686e+00 +4.5912e+00 -4.8152e-01
5 +1.913532083e+05 +1.913532083e+05 +1.911722783e+05 +1.911722783e+05 -3.0870e+00 +1.0543e+00 -4.5333e+00 -9.6042e-01 -2.6348e+00 +6.1812e-01 -2.9826e+00 -2.9529e+00 -4.9139e+00 -4.8486e+00 +1.3164e+00 -1.8278e+00 -1.3805e+00 -2.3761e-01 +3.9144e+00 -7.5250e-02 -2.8629e+00 +1.8516e+00 +1.2747e+00 -3.6602e+00
% function evaluation | noise-free fitness - Fopt (-3.674000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.400239959e+05 +5.400239959e+05 +5.399872559e+05 +5.399872559e+05 +1.9570e+00 -3.9797e+00 -2.8701e+00 -2.9750e+00 +1.2947e+00 +1.3326e+00 -9.0655e-01 -4.6087e+00 -3.6319e+00 -2.9657e+00 +4.3346e+00 -2.3665e+00 -7.9720e-01 +3.2196e+00 -2.0094e+00 -3.7595e+00 +1.9688e-02 -3.5828e+00 -1.6800e+00 -1.1875e+00
4 +3.755971649e+05 +3.755971649e+05 +3.755604249e+05 +3.755604249e+05 +3.1459e-01 -3.2301e+00 +1.4617e+00 +2.1211e+00 +1.2645e+00 +3.4161e+00 +1.5270e+00 -1.4031e+00 +6.9692e-01 -2.5597e+00 -4.0679e+00 -3.9253e+00 +4.3925e+00 -3.8172e-01 +2.2262e+00 -2.2568e+00 +2.2818e+00 -3.5577e-01 +1.7772e+00 -3.3285e-01
7 +2.376633981e+05 +2.376633981e+05 +2.376266581e+05 +2.376266581e+05 -1.2910e-01 -4.9918e+00 -4.4441e+00 +1.6264e+00 +5.3762e-01 -2.4349e+00 -2.5715e+00 -4.3959e+00 -4.5965e+00 -4.9710e-01 -3.9858e+00 -3.6487e+00 -9.1754e-01 +3.6111e+00 +2.7404e-01 +2.6915e+00 -3.4668e+00 -2.4067e+00 -8.8432e-01 +3.8183e+00
39 +8.988979113e+04 +8.988979113e+04 +8.985305113e+04 +8.985305113e+04 -3.3046e+00 +3.1408e-01 -1.7977e+00 +1.0463e+00 -3.9393e+00 -1.4924e+00 -4.4582e+00 -7.1006e-01 -8.3067e-01 -3.2367e+00 -1.4144e+00 +2.3286e+00 +1.4792e+00 +3.2983e-01 -1.7535e+00 -2.4866e+00 -3.7244e+00 -2.7409e+00 -2.9486e+00 +3.8772e+00
% function evaluation | noise-free fitness - Fopt (1.151100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.799095406e+05 +8.799095406e+05 +8.800246506e+05 +8.800246506e+05 +5.4548e-01 -4.3535e+00 -1.6779e+00 +1.0828e-01 -2.8243e+00 -4.0270e+00 +4.8419e+00 +4.7203e+00 +4.3456e+00 +4.5036e+00 -7.2976e-01 +2.3030e+00 -4.2364e+00 -3.4743e+00 -3.4749e+00 +2.5975e+00 +3.0698e+00 -1.6929e+00 -1.5143e-01 +4.2094e+00
10 +5.969674609e+05 +5.969674609e+05 +5.970825709e+05 +5.970825709e+05 -4.9672e-01 -1.6497e+00 +3.9053e+00 +2.6724e-01 -4.0612e+00 +3.1199e+00 -1.4174e+00 +1.0397e+00 +2.4459e-01 -2.1373e+00 +4.4120e+00 -3.2151e+00 -2.8738e-01 -4.7817e+00 -4.6512e+00 -4.5956e+00 -4.2906e+00 +4.6015e+00 +5.1974e-03 +4.2438e+00
13 +3.557299174e+05 +3.557299174e+05 +3.558450274e+05 +3.558450274e+05 +3.1315e+00 -1.0730e+00 +3.9572e+00 +2.4442e+00 -2.0350e+00 +1.9215e+00 +2.7748e+00 +4.9274e-01 +2.1319e+00 +1.3579e+00 -3.7551e+00 +8.4873e-01 +4.2148e+00 -4.1404e+00 +2.5875e-01 +1.6007e+00 +4.9812e+00 +1.4865e+00 -1.5503e+00 +3.7017e+00
25 +2.141913135e+05 +2.141913135e+05 +2.143064235e+05 +2.143064235e+05 +3.5546e+00 -2.7692e+00 -2.9088e+00 +4.4146e+00 +1.9675e+00 -4.0026e+00 -1.3236e+00 -3.0144e+00 -1.0354e+00 +2.4495e+00 -2.6575e+00 +2.5232e+00 +1.3679e+00 +4.3974e-01 -1.4169e+00 +9.3088e-01 -3.1046e+00 +4.5352e+00 -3.0738e+00 -1.0939e+00
32 +1.486466853e+05 +1.486466853e+05 +1.487617953e+05 +1.487617953e+05 -1.7086e+00 -2.1239e+00 -3.0768e+00 -1.9432e+00 -6.4148e-02 -1.3792e+00 +4.5334e-01 +2.4766e+00 +1.3075e+00 -3.4519e+00 -3.3095e-01 -2.7760e+00 +4.6584e+00 +8.4522e-01 -8.9904e-01 -2.4305e+00 +4.0110e-01 +2.1720e+00 -3.5554e+00 -1.7628e+00
% function evaluation | noise-free fitness - Fopt (1.759000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.548441042e+05 +9.548441042e+05 +9.548616942e+05 +9.548616942e+05 +1.2293e+00 -4.2772e+00 +4.2115e+00 -4.2705e+00 -1.5079e+00 +2.6802e+00 -2.9738e-01 -1.4245e+00 +7.7501e-01 +2.5956e+00 +6.2230e-01 -3.4831e+00 -1.4533e+00 +4.1457e+00 +3.8219e+00 +4.8625e+00 +5.0477e-01 -2.7966e+00 -4.6972e+00 +1.2300e+00
3 +2.218142966e+05 +2.218142966e+05 +2.218318866e+05 +2.218318866e+05 +7.9463e-01 +2.3247e+00 +1.7399e+00 -1.6870e+00 -1.0716e+00 -2.8892e-01 -2.8946e+00 -2.2168e-01 -3.4110e+00 -2.8283e+00 -4.6913e+00 -3.6282e-01 -4.5231e+00 +9.5840e-01 -3.8462e+00 -6.9142e-01 +1.5394e+00 +4.4100e+00 -2.0097e+00 +2.3469e+00
81 +1.044131581e+05 +1.044131581e+05 +1.044307481e+05 +1.044307481e+05 -2.5799e+00 +1.9922e+00 -2.3103e+00 -9.7580e-01 +4.0594e+00 +4.7137e+00 +4.6472e+00 +1.4905e+00 -2.5552e-01 -3.9591e+00 -3.2852e+00 -4.0143e+00 -3.3087e+00 -5.7372e-01 +2.2097e-01 -7.3442e-01 -2.0662e-01 +1.3267e+00 -3.9535e+00 +1.5300e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.780833914e+05 +4.780833914e+05 +4.790833914e+05 +4.790833914e+05 -3.6469e+00 +3.9125e+00 -1.9530e+00 -1.4502e+00 -1.9163e+00 +6.3720e-01 -9.7647e-01 -3.5231e+00 +1.2546e+00 -3.0653e+00 -8.0247e-01 +4.0095e+00 -2.2728e+00 +4.7055e+00 +1.2532e+00 +3.4566e+00 +2.0773e+00 +1.0179e+00 -3.3930e+00 -4.0592e+00
2 +1.814899210e+05 +1.814899210e+05 +1.824899210e+05 +1.824899210e+05 -8.6723e-02 +2.2521e+00 -4.5015e+00 -2.6393e+00 +3.3619e+00 -2.1825e+00 -1.6556e+00 -1.2216e-01 +3.6752e+00 -3.3264e+00 -4.9025e+00 -1.9912e+00 +2.2027e+00 -3.4253e+00 +1.2767e-01 -5.2093e-01 -7.9463e-02 -4.0609e+00 +3.4983e+00 +4.4005e+00
