% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
247 +6.259933154e+02 +6.259933154e+02 +5.777733154e+02 +5.777733154e+02 -4.0133e+00 -3.0322e+00 -2.9043e+00 -3.5412e+00 -3.2283e+00 +4.7098e+00 -3.9273e+00 +3.8815e-01 +2.1167e+00 +1.5820e+00 -4.3626e+00 -3.3943e+00 +2.9550e-01 +7.8385e-02 +1.5560e+00 -1.1839e-02 +1.0894e-01 +9.1933e-01 +3.5454e+00 +1.4774e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.560683264e+03 +2.560683264e+03 +2.586153264e+03 +2.586153264e+03 -3.2012e+00 +1.3456e+00 +3.1754e+00 -2.4583e+00 -4.9112e+00 +4.3449e+00 -1.5162e+00 -2.3777e+00 +2.1527e-01 -2.8877e+00 -1.2434e+00 +3.8566e+00 +3.6860e+00 -2.3399e+00 +2.6496e-01 -3.8522e+00 +1.1470e+00 -4.6577e+00 +3.5455e+00 +4.3569e+00
4 +1.496852197e+03 +1.496852197e+03 +1.522322197e+03 +1.522322197e+03 -2.6888e+00 -2.7789e+00 +2.4424e+00 +2.7939e+00 -2.2131e+00 -1.5658e+00 -1.9539e+00 +3.1726e+00 +2.2893e+00 -3.7576e+00 +3.2288e+00 -1.3767e+00 -3.4118e+00 -4.4100e+00 +2.4361e-01 +3.5056e+00 -2.3587e-02 +3.7905e+00 +4.6960e+00 -2.3425e-01
122 +9.892570822e+02 +9.892570822e+02 +1.014727082e+03 +1.014727082e+03 -1.3950e+00 -2.2658e+00 -2.6566e+00 +1.0817e+00 +3.1901e+00 -3.9632e+00 -4.9730e+00 +1.4771e+00 +2.2341e+00 -1.3226e+00 -4.3724e+00 +1.3455e+00 +1.1484e+00 -4.4335e+00 -2.5801e-01 -8.7239e-01 -2.7893e+00 +1.1910e+00 +1.6255e+00 -2.1773e+00
953 +5.738519328e+02 +5.738519328e+02 +5.993219328e+02 +5.993219328e+02 -2.4640e+00 +3.8910e-01 -1.4168e-308 +6.5561e-310 -9.3206e-309 +3.9057e+00 +4.4702e-309 +3.0863e-299 +2.1396e+00 +2.0661e+00 -5.0000e+00 +9.2048e-10 +6.4301e-309 +3.8964e+00 -7.4769e-10 -1.9254e+00 +2.3645e-308 +4.4746e-299 +2.2179e-308 -3.0918e+00
353 +5.683710607e+02 +5.683710607e+02 +5.938410607e+02 +5.938410607e+02 -3.4201e+00 +2.1443e-01 -7.2082e-02 -4.8808e+00 -4.2221e+00 -1.9852e-01 -1.1231e+00 +2.3825e+00 +3.2723e+00 -2.1247e+00 +4.3172e+00 -4.4334e+00 +3.8318e+00 +3.9001e-02 +1.8321e+00 -2.8703e+00 +8.8453e-01 +2.6944e+00 +2.0356e+00 -4.3626e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.103852443e+03 +4.103852443e+03 +4.003042443e+03 +4.003042443e+03 +5.9210e-01 +7.4559e-01 -4.2874e+00 -1.9660e+00 -3.2547e+00 -2.6958e+00 +2.7686e+00 -4.5142e+00 +4.3578e+00 +7.8960e-01 +3.8242e+00 +6.3765e-01 -5.3337e-01 +1.9092e+00 +8.3526e-01 +3.9180e+00 +3.9729e+00 -4.3773e+00 -4.9211e+00 -1.7743e-01
2 +2.666554646e+03 +2.666554646e+03 +2.565744646e+03 +2.565744646e+03 -3.0050e+00 +2.1462e+00 +3.6959e+00 +3.4043e+00 -3.2209e+00 -2.9172e+00 +1.5559e+00 -2.3583e+00 -3.1106e+00 -3.9112e+00 -4.2201e+00 +4.8146e+00 -2.0008e+00 -4.7826e+00 -3.7375e+00 -3.4824e+00 +1.8771e+00 +3.3649e-01 -3.3900e+00 +3.5328e-01
3 +1.325914941e+03 +1.325914941e+03 +1.225104941e+03 +1.225104941e+03 +4.6428e+00 +1.7189e+00 +1.3252e+00 -4.5874e+00 +2.9941e-01 +4.1487e+00 +2.5456e+00 +1.5329e+00 -4.4303e+00 +3.7443e+00 -1.8186e+00 -4.1082e+00 -1.9758e+00 +2.7886e+00 -9.6245e-02 -6.5788e-01 +2.6436e+00 -4.2946e+00 +4.2740e+00 -2.0360e+00
43 +8.281974672e+02 +8.281974672e+02 +7.273874672e+02 +7.273874672e+02 -2.3253e+00 -2.8653e+00 +4.5416e+00 +7.8066e-02 +2.1886e+00 -2.4433e+00 +3.0458e-03 +2.1440e+00 -4.1589e+00 +1.7700e+00 +1.0253e+00 -4.8995e-01 +4.6621e+00 -2.6369e+00 +6.7507e-01 -8.4113e-01 +4.6615e+00 -4.0993e+00 +3.8262e+00 -3.5357e+00
141 +5.918471240e+02 +5.918471240e+02 +4.910371240e+02 +4.910371240e+02 -3.2736e+00 -3.7974e+00 +1.8571e+00 -2.7140e+00 -2.0756e+00 +1.9672e+00 +3.0324e+00 +4.0188e+00 -2.6820e+00 -3.3813e-01 -1.1901e+00 -4.1896e+00 -9.6930e-02 -1.6793e+00 -2.1805e+00 +2.0070e+00 +1.1592e+00 +2.5214e+00 -1.9792e+00 +4.6597e-01
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.371856334e+03 +1.371856334e+03 +1.773586334e+03 +1.773586334e+03 +4.0430e+00 -1.2989e+00 -1.8405e+00 -6.0768e-02 -2.5470e+00 +8.3315e-01 +7.3611e-01 +7.7597e-01 -3.0001e+00 +1.6383e+00 +2.9132e+00 +5.0555e-01 +4.4552e+00 -4.3151e+00 +3.3614e+00 -1.1064e+00 +1.1336e+00 +2.5339e+00 -3.6206e+00 -7.1814e-01
44 +9.185907977e+02 +9.185907977e+02 +1.320320798e+03 +1.320320798e+03 -1.0179e+00 +4.3240e+00 -1.4694e+00 -3.1523e+00 +2.6481e+00 -4.2746e+00 +4.6011e+00 +1.2024e+00 +4.2157e+00 +2.4919e+00 -4.7303e+00 +3.4268e+00 +1.7763e+00 +1.0768e+00 -2.7213e+00 -4.1985e+00 +5.3555e-01 +2.5824e+00 +4.5090e+00 +2.8127e-01
65 +5.787514538e+02 +5.787514538e+02 +9.804814538e+02 +9.804814538e+02 +3.1166e-01 -4.2417e+00 -2.4490e+00 +1.9128e+00 -5.3389e-01 +4.0283e+00 -2.5505e+00 -3.5410e+00 -1.3221e+00 -3.0086e-01 -5.8545e-01 +4.1424e-01 +2.3970e+00 +2.7749e+00 -3.5253e+00 -1.3783e+00 +1.8358e+00 +3.1656e+00 +2.3901e+00 -3.9881e+00
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.705858986e+03 +1.705858986e+03 +1.610108986e+03 +1.610108986e+03 +4.6971e+00 -3.2988e+00 +1.7606e+00 -2.6076e+00 +6.5310e-02 +3.2976e-01 -4.0883e+00 -6.1829e-01 +2.5531e+00 -4.3859e+00 +1.8116e+00 -7.5984e-01 +2.9424e+00 +4.7129e+00 -4.2761e+00 -3.8184e+00 -4.5535e+00 -1.2663e+00 -3.6087e+00 -4.5632e+00
4 +1.442008789e+03 +1.442008789e+03 +1.346258789e+03 +1.346258789e+03 -2.4087e+00 +3.8554e+00 +3.8806e+00 +3.9600e+00 -3.1627e-03 -1.1986e+00 -4.9620e+00 +1.8462e+00 -1.9762e+00 -2.6008e+00 -3.9617e+00 +2.1236e+00 +2.8061e-01 -1.4863e-01 -6.6913e-01 +2.1634e-01 -3.9098e+00 +4.8249e-01 -1.1966e+00 -2.5110e+00
22 +9.134913811e+02 +9.134913811e+02 +8.177413811e+02 +8.177413811e+02 +1.9347e+00 -3.2536e+00 -2.0516e+00 +3.1041e+00 -1.3148e+00 -3.0310e+00 -9.0634e-01 +4.8675e+00 -1.4731e+00 +1.0103e+00 -1.3644e+00 +4.2982e+00 +3.4357e+00 +1.6705e+00 -1.5580e-01 +9.9798e-01 -2.0312e+00 -1.8255e+00 +9.6856e-01 -2.8035e+00
994 +5.896258077e+02 +5.896258077e+02 +4.938758077e+02 +4.938758077e+02 +5.4281e-05 +2.6143e+00 -5.0000e+00 +4.3430e+00 +1.8554e+00 -5.0000e+00 -5.0000e+00 -2.7813e-308 +2.7813e-308 +2.7813e-308 +2.7813e-308 -2.4322e-308 +5.0000e+00 -6.7346e-309 +0.0000e+00 -4.6273e+00 +6.8332e-05 -7.1682e-05 +2.7813e-308 +5.1712e-05
365 +6.263836903e+02 +6.263836903e+02 +5.306336903e+02 +5.306336903e+02 -2.1208e+00 -1.8027e+00 -1.6152e+00 +3.3643e+00 +3.0612e+00 +1.0420e-01 -1.1268e+00 -8.4528e-01 +3.5457e+00 +2.5549e+00 +4.1322e+00 -1.8970e+00 +2.1501e+00 -3.2474e-01 +2.3525e+00 -2.7582e-01 -2.9212e+00 -7.3064e-01 +3.0905e+00 -5.9822e-01
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.587118423e+03 +1.587118423e+03 +1.495758423e+03 +1.495758423e+03 +1.5822e+00 -2.7338e+00 +3.9279e+00 +1.1697e+00 -2.8341e+00 -1.2220e+00 +2.3132e+00 -1.6438e+00 -3.3126e+00 +4.3327e+00 -3.6179e+00 -6.5618e-01 +4.1488e+00 +1.3731e+00 +1.5899e+00 -9.3380e-01 +5.6352e-01 -1.4542e+00 -1.6604e+00 -2.4715e+00
3 +1.384491215e+03 +1.384491215e+03 +1.293131215e+03 +1.293131215e+03 -3.2579e+00 -4.0993e+00 +2.1921e+00 -4.1953e+00 +1.1566e+00 +4.8413e+00 +6.6323e-01 -2.6583e+00 +4.5577e+00 -1.1307e+00 +1.6791e+00 +3.8305e+00 -4.1312e+00 +4.3284e+00 +9.3570e-01 +3.0271e+00 -3.6280e+00 -2.6971e+00 -2.8534e+00 +3.2754e+00
4 +6.522013216e+02 +6.522013216e+02 +5.608413216e+02 +5.608413216e+02 +9.4292e-01 +2.5277e+00 +4.2188e+00 -1.3682e+00 -8.2355e-01 -3.8012e-01 -2.2481e+00 -3.9277e+00 -4.4163e+00 -3.3231e+00 -1.0695e+00 -2.6974e+00 -3.7443e+00 +5.6649e-01 -2.0196e+00 -3.1128e+00 +2.4936e+00 -2.4081e+00 +2.1223e+00 +3.4976e+00
1063 +6.157442673e+02 +6.157442673e+02 +5.243842673e+02 +5.243842673e+02 +9.1258e-193 +5.0000e+00 +5.0000e+00 -6.6274e-193 -6.6573e-193 -1.1133e-38 -2.2481e+00 -2.7279e+00 +2.7813e-308 -5.0000e+00 -9.6741e-39 -3.2750e+00 -3.1739e+00 +8.4595e-39 -2.0196e+00 -3.0810e+00 +3.9633e+00 +1.5969e-308 +2.0363e+00 +2.7959e+00
227 +6.053243766e+02 +6.053243766e+02 +5.139643766e+02 +5.139643766e+02 -2.6795e+00 -3.3410e-01 -9.5656e-02 -5.1386e-01 -4.9924e+00 -3.6928e+00 +3.2166e+00 +3.2819e+00 -1.6262e+00 -2.8183e+00 -2.3178e-01 -5.5247e-01 -4.2877e+00 +2.0772e+00 -1.2251e+00 +8.6133e-03 +2.6123e+00 +1.3544e+00 -3.4874e+00 +1.2695e-01
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.324743965e+03 +1.324743965e+03 +1.556273965e+03 +1.556273965e+03 +1.8642e-01 +1.2640e+00 +3.9308e+00 +4.7849e+00 +6.7031e-01 +3.6749e+00 -8.9060e-01 +1.7460e+00 +4.7754e-01 +1.9800e+00 -4.2179e+00 +2.0753e+00 +1.8868e+00 -3.9297e-01 +4.0398e+00 -3.4256e+00 +4.8154e+00 +2.8962e+00 -4.6308e+00 -1.3804e+00
2 +9.792267534e+02 +9.792267534e+02 +1.210756753e+03 +1.210756753e+03 -1.7360e+00 +7.2291e-02 +4.1163e-01 +1.1958e+00 +2.1037e+00 -4.1805e+00 +1.8279e-01 -2.2131e+00 +6.8939e-01 +3.3720e+00 -3.1289e+00 +3.6547e+00 +3.7385e-01 +2.7048e+00 -2.1158e+00 -3.5188e+00 +3.9036e+00 -1.1617e+00 +1.3322e+00 +3.6579e+00
75 +5.371744044e+02 +5.371744044e+02 +7.687044044e+02 +7.687044044e+02 -4.7063e+00 -1.2395e+00 -3.3952e-01 +7.3662e-01 +4.0122e+00 -3.9511e+00 -2.1065e+00 -2.8718e+00 +3.8246e+00 +9.6347e-01 -3.4935e+00 -3.1393e-01 +2.2561e+00 -3.3216e+00 +1.8163e+00 +4.8564e+00 +4.6264e+00 -1.5019e+00 -4.2075e+00 +1.0156e+00
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.737545332e+03 +2.737545332e+03 +2.597775332e+03 +2.597775332e+03 +3.6365e+00 -2.0004e-01 -1.6284e+00 +1.9493e+00 -6.3283e-01 +4.2733e+00 +1.6857e-01 +4.9377e-02 +4.5529e+00 -2.5935e+00 +2.2525e+00 -3.1845e+00 -3.4219e+00 -3.6746e+00 +3.0778e+00 -4.1201e+00 +3.9333e+00 -7.8852e-01 -3.9440e+00 +2.5646e+00
3 +2.464611700e+03 +2.464611700e+03 +2.324841700e+03 +2.324841700e+03 -2.0362e+00 -2.2157e+00 -1.0777e-01 -3.3445e+00 -1.1241e+00 -3.2844e+00 -3.1678e+00 +2.4851e+00 -5.4184e-01 -4.5558e-01 -1.2933e+00 +1.4339e+00 -3.2741e+00 -4.5768e-01 +2.7849e+00 -2.3253e+00 -4.4526e+00 +4.8319e+00 -2.9951e+00 +4.3663e+00
23 +1.459120289e+03 +1.459120289e+03 +1.319350289e+03 +1.319350289e+03 -4.8056e+00 -3.8968e+00 -2.6638e+00 -2.3826e+00 -6.3543e-01 -1.0976e+00 +1.5430e+00 -3.4038e+00 -1.2115e+00 +3.1586e+00 +2.7895e+00 -2.5536e+00 +9.0182e-01 -4.9187e+00 -4.6792e+00 -8.9598e-02 +2.7799e+00 +3.6493e-01 -3.6902e-01 -1.7670e+00
55 +9.950520222e+02 +9.950520222e+02 +8.552820222e+02 +8.552820222e+02 -3.6470e+00 +3.6365e+00 -6.2151e-01 -8.0666e-01 -1.6618e+00 -1.5689e+00 -4.4078e-02 -1.0416e+00 -4.8542e+00 -2.2324e+00 -4.2194e+00 -3.4830e+00 -4.2312e+00 -2.7988e+00 -1.0970e+00 -4.3068e+00 -1.8083e+00 +8.6734e-01 -1.4572e+00 -1.6556e+00
822 +5.455654719e+02 +5.455654719e+02 +4.057954719e+02 +4.057954719e+02 -4.6179e-01 +3.5713e+00 -3.0027e+00 +3.5079e+00 -3.0734e+00 -9.2842e-01 +1.2396e+00 -8.2770e-02 -2.9641e+00 +4.6796e+00 -3.0930e+00 -3.1486e+00 -1.5654e-01 -4.3517e-01 +2.2375e+00 -2.7142e+00 -1.7678e+00 +3.5027e+00 -3.9463e-01 +3.8149e+00
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.146289158e+03 +1.146289158e+03 +1.156119158e+03 +1.156119158e+03 -4.0818e+00 +1.9135e+00 -2.9052e+00 +1.2800e+00 +3.3895e+00 +4.5634e+00 +3.1400e+00 -4.3820e+00 -1.8520e+00 -1.9864e+00 -4.5325e+00 -2.9470e+00 -7.4101e-01 -1.9471e+00 -4.9612e+00 +2.2654e+00 +4.0644e+00 +1.2189e+00 +3.3946e+00 +9.5298e-01
29 +9.088876302e+02 +9.088876302e+02 +9.187176302e+02 +9.187176302e+02 +1.1321e+00 +1.8823e+00 -1.6477e+00 +1.7941e+00 -3.5666e-01 +4.7484e+00 -3.8588e-01 +2.8583e+00 -1.8971e+00 -3.6641e+00 -9.4475e-01 -2.2586e+00 -1.8417e-01 +1.6175e+00 -2.2571e+00 +1.7174e+00 -2.0151e+00 +2.2491e-01 +1.4049e+00 -2.4100e+00
64 +6.306485796e+02 +6.306485796e+02 +6.404785796e+02 +6.404785796e+02 -8.1968e-01 +4.0338e+00 -6.5981e-01 -4.9203e+00 +4.1987e+00 +2.2660e+00 +2.4625e+00 -2.1123e+00 -2.1618e+00 +2.1095e+00 +4.4818e+00 +1.9193e+00 -1.7128e-01 +4.4909e-02 +4.3437e-01 +4.8817e+00 +1.9286e+00 +1.0462e+00 -1.1480e+00 +4.8658e-01
% function evaluation | noise-free fitness - Fopt (6.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.197511602e+03 +1.197511602e+03 +1.264721602e+03 +1.264721602e+03 +3.6225e+00 -3.4689e+00 +2.8123e+00 -9.1668e-01 +2.4298e+00 -7.1161e-01 +2.3039e+00 -7.1968e-01 -3.8340e+00 +2.9976e+00 -3.6494e+00 +2.0416e+00 +2.9463e+00 -6.9926e-01 +4.0960e+00 +1.0801e+00 +2.3344e+00 -4.5840e+00 +4.6394e-01 -2.4943e+00
3 +8.145714275e+02 +8.145714275e+02 +8.817814275e+02 +8.817814275e+02 +4.2882e+00 -2.9596e+00 -3.7366e+00 -2.4140e+00 -1.8573e-01 +9.8381e-01 +2.5257e+00 +6.4375e-01 +3.5335e-01 -1.9292e+00 -3.0274e+00 +4.0213e+00 +1.1566e+00 +3.8327e+00 -9.0852e-01 -2.2612e+00 +4.7404e+00 +5.7877e-02 -4.9255e+00 -2.9098e+00
109 +5.831621225e+02 +5.831621225e+02 +6.503721225e+02 +6.503721225e+02 +3.5741e+00 +1.5755e+00 +1.9252e+00 -1.8337e+00 +2.8725e-01 -2.8062e+00 -4.5909e+00 +3.5652e+00 -5.2382e-01 -5.3238e-01 -4.7298e+00 -1.1162e+00 +2.2612e+00 -4.9254e-01 +4.1784e+00 -2.2717e-01 -2.7078e+00 +4.9515e+00 +1.8915e+00 -1.3767e+00
% function evaluation | noise-free fitness - Fopt (-5.296000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
