% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.781350792e+07 +2.781350792e+07 +2.781345298e+07 +2.781345298e+07 +3.5945e+00 -2.6239e+00 +4.7654e+00 +4.9226e+00 +4.2821e+00 -2.5361e+00 -1.0365e+00 +2.2586e+00 +2.1374e+00 +2.9574e+00 +1.1774e+00 +1.9389e+00 -2.1426e-01 +2.3130e+00 +4.1377e+00 -2.8479e+00 +4.7148e+00 +2.4220e+00 +3.8152e+00 -2.7243e+00
2 +4.321020820e+06 +4.321020820e+06 +4.320965880e+06 +4.320965880e+06 -1.9213e+00 +1.5604e+00 -1.9922e+00 +1.3912e+00 -1.0033e+00 -2.2548e+00 +4.1342e+00 +1.9841e+00 +2.7115e+00 -4.0449e+00 +1.9788e+00 -2.5456e+00 +1.5363e+00 -4.6620e+00 +9.9303e-01 +2.7221e+00 +1.5586e+00 +4.7056e+00 -3.5935e+00 +2.2151e+00
94 +3.681587108e+06 +3.681587108e+06 +3.681532168e+06 +3.681532168e+06 +7.8081e-01 -4.5477e+00 -4.1703e+00 +2.9598e+00 +2.7125e+00 -7.5892e-01 -1.9695e+00 -8.6953e-01 -4.9301e-01 -4.8813e+00 +1.8817e-02 +5.7862e-01 -4.3658e+00 -4.0213e+00 -3.3305e+00 +1.3138e+00 -1.3726e+00 +3.7264e+00 -2.1950e-01 +5.3741e-01
109 +1.499184320e+06 +1.499184320e+06 +1.499129380e+06 +1.499129380e+06 +1.0426e+00 -4.5307e+00 -1.5829e+00 -7.3538e-01 +1.9489e+00 -2.5405e+00 +1.7516e-01 -4.9716e+00 +1.1134e+00 +4.0006e+00 -3.7711e+00 -2.1675e+00 +2.8857e+00 +2.7392e+00 -2.7155e+00 +4.0277e+00 -2.2367e+00 +2.3469e+00 +2.9090e+00 +4.5784e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.147431876e+07 +1.147431876e+07 +1.147437789e+07 +1.147437789e+07 -1.7483e+00 +2.9770e+00 -1.7528e+00 +4.1359e+00 -3.4127e+00 -1.8071e+00 -3.9324e+00 +3.1123e+00 -7.3900e-01 +4.9447e+00 -7.3805e-01 +4.0889e+00 +1.9565e+00 +4.5557e+00 +3.4423e+00 -2.7855e+00 -3.5924e+00 +4.4375e+00 -5.5948e-01 -3.4704e+00
4 +4.506861755e+06 +4.506861755e+06 +4.506920885e+06 +4.506920885e+06 +1.0243e+00 +1.3578e+00 -3.2872e-01 -1.7711e+00 -3.0544e+00 -1.1899e+00 +1.0180e+00 -4.9309e-01 +5.3094e-01 -1.4134e+00 +5.2698e-01 -2.4205e+00 +3.9335e+00 -3.7304e+00 -3.8238e+00 +1.3280e+00 +1.8712e+00 -1.4568e+00 +6.6219e-01 +3.6772e+00
37 +1.767068304e+06 +1.767068304e+06 +1.767127434e+06 +1.767127434e+06 -9.9102e-02 +1.9506e+00 -3.5785e-01 +3.0586e+00 +2.6396e+00 +4.8043e+00 -1.0915e+00 +3.5600e+00 -4.7752e+00 -1.0520e+00 -8.8825e-01 -1.4024e+00 -8.6225e-01 +6.8623e-01 -3.8337e+00 -3.6492e+00 +3.8401e+00 -2.5161e+00 +1.6673e+00 +3.0714e-01
560 +1.258296451e+06 +1.258296451e+06 +1.258355581e+06 +1.258355581e+06 -2.5361e-77 +1.6839e-01 -2.5760e-77 +5.0000e+00 +3.4577e+00 +5.0000e+00 -3.3542e-77 +2.2765e+00 -3.4086e+00 -2.0507e-77 -2.8376e-77 -1.1272e-01 -4.2948e-77 +2.8764e-77 -2.5722e+00 -5.0000e+00 +4.4258e+00 -5.0000e+00 +1.7414e+00 +4.2269e-01
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
