% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.292797227e+09 +2.292797227e+09 +2.292796606e+09 +2.292796606e+09 -2.6223e+00 +6.5707e-01 +4.6784e+00 -4.4171e+00 -4.1140e+00 -3.6954e+00 -3.1670e+00 -1.5331e-01 -4.8374e+00 -1.3377e+00 -1.7998e+00 +3.9726e+00 -4.4218e+00 +3.1114e+00 -1.5493e+00 +1.0636e+00 +6.9960e-01 -2.0929e+00 +1.5924e+00 +1.0929e+00
2 +1.385001769e+09 +1.385001769e+09 +1.385001148e+09 +1.385001148e+09 +2.3973e+00 -1.6330e+00 +7.9876e-01 +8.2622e-01 +1.2183e+00 -4.3371e+00 +3.3706e+00 +4.4976e+00 +2.0473e+00 +2.7336e+00 +1.2423e+00 +2.8479e+00 +3.4915e+00 -2.7327e+00 -1.0441e+00 -4.3759e+00 -4.4347e+00 -4.9669e+00 +1.2994e+00 +3.2798e+00
9 +8.301128141e+08 +8.301128141e+08 +8.301121929e+08 +8.301121929e+08 +3.2136e+00 +4.3486e+00 -2.8207e+00 +3.7672e+00 +3.0587e+00 +3.7847e+00 +1.1049e+00 -2.7109e+00 +4.4545e-02 +2.3610e+00 +1.1458e+00 +3.3160e+00 +6.3712e-01 +7.4013e-01 +4.3228e+00 -3.0565e+00 +2.5696e+00 -5.6340e-01 -2.3716e+00 +8.0525e-01
12 +1.324636239e+08 +1.324636239e+08 +1.324630028e+08 +1.324630028e+08 +1.4754e+00 +3.0965e+00 -4.8842e+00 -3.7588e+00 +3.6269e+00 -1.4619e+00 +1.2968e-01 -1.5284e+00 +4.1104e-01 +4.7159e+00 -3.2507e+00 +3.3520e+00 +1.4759e+00 -1.2007e+00 +2.0736e+00 -2.7226e+00 +3.0616e+00 +3.3796e+00 -1.2316e+00 +1.6391e+00
993 +9.396152998e+07 +9.396152998e+07 +9.396090887e+07 +9.396090887e+07 +1.6184e-01 +5.0000e+00 -2.9388e+00 -5.0000e+00 +4.4825e+00 -1.9568e-01 +2.6268e-01 -2.6772e-01 +1.5510e-01 +3.0822e+00 -2.4042e+00 +3.5242e+00 +3.1250e-01 -3.0411e-01 +2.7604e+00 -5.0000e+00 +2.9032e+00 +3.3995e+00 -2.7011e-01 +2.5471e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.306485561e+08 +4.306485561e+08 +4.306483012e+08 +4.306483012e+08 +1.1347e+00 +1.3192e+00 +1.3920e+00 -1.6902e+00 -4.9716e+00 -3.6956e+00 -3.5869e+00 -3.5592e+00 +1.5804e+00 +3.5138e+00 +3.6469e-01 +9.6233e-01 +3.5615e+00 +4.1716e+00 -1.4810e+00 -4.5796e+00 -2.9720e+00 -1.1126e+00 -6.8089e-01 +2.9424e-01
2 +3.694430673e+08 +3.694430673e+08 +3.694428125e+08 +3.694428125e+08 +1.7137e+00 -1.4204e+00 +2.8112e+00 +1.3966e+00 -1.8241e+00 -3.3028e+00 +3.3982e+00 +2.1182e-02 +3.0960e-01 +5.0252e-01 +2.0590e+00 +2.4971e+00 +8.5659e-01 +1.6489e-01 -1.1107e+00 -4.1702e+00 -3.6955e+00 +3.1370e+00 +1.2290e+00 +3.4572e+00
715 +1.688064386e+08 +1.688064386e+08 +1.688061837e+08 +1.688061837e+08 +3.8422e+00 -1.4975e+00 -2.2361e-19 +9.5140e-02 -1.6939e-19 -2.8769e+00 -5.0000e+00 +5.0000e+00 +2.8823e-01 +2.8967e+00 +5.0000e+00 -2.7098e-19 -4.3586e+00 +2.2631e-19 +2.7105e-19 +2.0682e+00 -2.4123e-19 +1.0372e-09 +6.4385e-10 +3.8756e+00
968 +1.210030622e+08 +1.210030622e+08 +1.210028074e+08 +1.210028074e+08 +5.0000e+00 -1.8772e-77 -1.0830e+00 +3.6753e-77 -3.6005e-01 -3.2869e+00 -2.8357e+00 +5.0000e+00 +4.3181e-77 +3.5229e+00 +5.0000e+00 -2.4646e-77 -3.9802e+00 +4.3181e-77 +3.4869e-77 +2.6822e+00 -2.2774e-77 +4.3181e-77 +8.6377e-01 +2.0659e+00
