% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.226283522e+01 +1.226283522e+01 +1.913283522e+01 +1.913283522e+01 +2.4639e+00 -1.7456e+00 -3.3680e+00 -4.9967e-01 +3.8279e+00 +1.0691e+00 -7.2485e-01 +6.6474e-01 +4.8712e+00 +3.7405e+00 +1.9480e+00 +8.5048e-01 +2.0085e-01 +5.5695e-01 -4.9928e+00 -2.4471e+00 -2.5115e+00 +2.2488e+00 +3.5343e+00 -4.1732e+00
2 +5.590764055e+00 +5.590764055e+00 +1.246076406e+01 +1.246076406e+01 -1.5473e+00 -4.5016e+00 +1.4499e+00 +3.2688e-02 +3.9051e+00 -1.1676e+00 +3.0744e+00 -2.8442e+00 +1.6131e+00 +6.9141e-01 +2.7832e+00 +1.0604e+00 +3.5499e+00 +4.8626e+00 -3.0408e+00 -1.6188e-01 -1.2775e+00 +1.2722e-01 +4.2443e+00 +2.1198e+00
1115 +3.867180656e+00 +3.867180656e+00 +1.073718066e+01 +1.073718066e+01 -5.0000e+00 -2.3272e-308 -5.0000e+00 +0.0000e+00 -5.0000e+00 -2.3951e+00 +9.2789e-01 +2.5296e-321 +0.0000e+00 +1.9252e-309 +2.5730e+00 -2.4643e+00 -3.7850e-309 +2.1555e-308 +3.6448e-314 -4.1487e+00 +1.9261e-308 +2.0356e+00 +4.2476e+00 -3.3426e+00
465 +3.890750817e+00 +3.890750817e+00 +1.076075082e+01 +1.076075082e+01 +2.2047e+00 +5.3051e-02 +1.3330e-01 -1.5370e+00 -3.9455e+00 +4.9907e+00 +3.3013e+00 +1.8442e+00 -4.7916e+00 -5.5060e-01 +2.2331e+00 -2.5744e+00 +8.1843e-01 +2.4470e-02 +1.4609e+00 +4.8113e+00 -1.9315e+00 +2.6205e+00 +1.6385e+00 -3.4114e+00
610 +3.448022434e+00 +3.448022434e+00 +1.031802243e+01 +1.031802243e+01 +4.4485e-01 +2.5339e+00 +2.5188e-154 -5.0000e+00 -1.9753e-154 +3.1297e+00 +5.0000e+00 -5.0000e+00 +4.8721e+00 +5.0000e+00 -2.7008e-154 +2.8538e+00 +4.9078e+00 +4.7411e+00 +2.3764e-154 -3.4265e+00 -1.9201e-154 +2.0634e-154 -4.8340e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.919153081e+01 +1.919153081e+01 +1.920153081e+01 +1.920153081e+01 +1.8117e+00 -1.4438e+00 +4.2194e+00 -3.9836e-01 -3.4019e+00 -3.7043e+00 -7.5679e-01 -9.9294e-01 -4.5857e+00 -2.1777e+00 +1.1325e+00 +2.9312e+00 +1.6022e+00 -1.6837e+00 -4.7485e+00 +3.4917e+00 +6.5233e-01 +2.9700e+00 -1.9443e-01 +2.9044e-01
3 +1.021166765e+01 +1.021166765e+01 +1.022166765e+01 +1.022166765e+01 +2.3756e+00 -4.8056e+00 +2.0740e+00 -4.2259e+00 -4.0627e-01 +2.1169e+00 -4.0181e+00 -6.6781e-02 +1.0203e+00 -1.4740e+00 -2.7719e+00 +3.2149e+00 -2.0670e+00 +4.4384e+00 +9.0265e-01 -3.1406e+00 +2.4453e+00 +1.3607e+00 -3.1886e+00 -2.6546e+00
7 +9.290120701e+00 +9.290120701e+00 +9.300120701e+00 +9.300120701e+00 +3.9606e-01 -2.9912e+00 -4.2731e+00 -2.3326e+00 -8.5932e-01 -2.3493e+00 -2.1473e+00 +3.4641e+00 +4.4604e+00 +2.9759e+00 +1.1696e+00 -4.0086e+00 +3.0282e+00 +4.2132e+00 +2.0429e+00 -4.1403e+00 +7.2200e-01 +3.1941e+00 -4.6655e+00 +1.7308e+00
35 +5.932500228e+00 +5.932500228e+00 +5.942500228e+00 +5.942500228e+00 +2.9675e+00 -1.9842e+00 +3.1207e+00 +2.6973e+00 -4.9567e+00 -3.1863e+00 -1.0142e+00 +2.2988e-01 +9.1337e-01 -4.5536e-01 +2.1751e+00 +3.2171e+00 +9.3769e-01 +4.8833e+00 -3.2036e+00 -2.8874e+00 -1.1931e+00 -4.1319e+00 -1.9706e+00 -3.6811e+00
1191 +3.345103165e+00 +3.345103165e+00 +3.355103165e+00 +3.355103165e+00 +5.0000e+00 +3.0683e+00 +1.1659e-02 +2.3574e+00 -2.5781e+00 +9.2947e-03 +5.0000e+00 +3.0994e+00 -4.8751e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +4.8586e+00 -4.4753e+00 +1.5554e-02 -3.6125e+00 +5.0000e+00 +2.6175e+00 +5.0000e+00
