% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.162878944e+03 +2.162878944e+03 +1.700788944e+03 +1.700788944e+03 -4.6985e+00 -3.7785e+00 -4.3453e+00 -2.3796e-01 -3.2682e+00 +2.7180e-01 -3.6069e+00 +1.2996e+00 +3.3778e+00 +4.6952e+00 +1.9576e+00 -2.5548e+00 -3.2030e+00 -2.4793e+00 -2.9005e+00 +1.5832e+00 -4.4231e+00 -1.4827e+00 +3.5461e+00 +2.9462e+00
20 +1.399050657e+03 +1.399050657e+03 +9.369606565e+02 +9.369606565e+02 -6.7121e-02 -2.4949e+00 -3.0577e-01 +1.6073e+00 +6.9070e-01 -7.5814e-01 -4.5261e-01 +2.5925e+00 -1.0853e+00 -2.1577e+00 -4.2724e+00 -2.3184e+00 -4.9596e+00 -3.6800e+00 -4.8881e+00 -3.2173e+00 -4.6685e+00 +2.0281e+00 -4.7626e+00 +1.3784e+00
183 +9.012175618e+02 +9.012175618e+02 +4.391275618e+02 +4.391275618e+02 -7.9047e-01 +3.0785e+00 -4.5294e-01 -2.7657e-01 -2.1467e+00 +3.2275e+00 -9.0952e-01 +4.7898e+00 -3.6184e+00 +1.0119e+00 +2.0037e+00 -2.9177e+00 -2.0288e+00 +1.7661e-01 -1.6972e+00 -1.8990e+00 -2.6926e+00 +5.4378e-01 -1.8206e+00 -1.0293e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.054483345e+03 +3.054483345e+03 +3.132143345e+03 +3.132143345e+03 +2.4433e-01 +1.4594e-02 +3.2064e+00 -2.8192e-01 +4.6154e+00 -9.3966e-01 +1.1895e+00 +4.0175e+00 -2.5456e+00 +8.5714e-01 -3.2141e+00 -1.2657e+00 -1.8652e+00 -3.3933e+00 +3.1927e+00 +8.4564e-01 -2.3988e+00 +8.2511e-01 -4.6189e+00 +3.7687e+00
2 +1.949882448e+03 +1.949882448e+03 +2.027542448e+03 +2.027542448e+03 -3.9140e-01 -1.0710e+00 +1.1264e+00 +4.0273e+00 +4.2194e-01 -4.0348e+00 -1.1307e+00 +3.3868e+00 +3.8609e-01 -6.6355e-02 +6.7766e-01 -4.7396e+00 +1.9595e+00 -4.7917e+00 -9.3718e-01 +3.6654e+00 -1.3738e+00 +2.4736e+00 +6.9996e-01 -9.4361e-01
11 +1.510307140e+03 +1.510307140e+03 +1.587967140e+03 +1.587967140e+03 +2.1113e+00 +1.5415e+00 +1.3113e+00 -4.7252e+00 -2.9073e+00 +1.7391e+00 -1.3223e-01 +4.0860e+00 +1.1306e+00 -3.0711e+00 -9.4294e-01 +4.9681e+00 -2.9009e+00 +1.7228e-01 +1.7090e-01 +4.7916e+00 -1.3894e+00 +3.4127e+00 -2.1890e+00 -1.6711e+00
21 +9.514882527e+02 +9.514882527e+02 +1.029148253e+03 +1.029148253e+03 -6.1747e-01 +1.0603e+00 -4.4929e-01 +1.1435e+00 -2.6684e-01 -1.2637e+00 +4.0093e-01 +2.8657e+00 -5.4014e-01 -2.1369e+00 -9.3165e-01 -4.8468e+00 -3.6200e+00 +2.6248e+00 +2.8494e+00 -1.8995e-01 -6.9911e-01 -3.0204e+00 +2.6851e+00 +2.6626e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.959639754e+03 +2.959639754e+03 +3.075319754e+03 +3.075319754e+03 +3.4997e+00 +1.0481e+00 +7.6354e-02 +1.4819e+00 -3.0739e+00 -2.8239e+00 +3.1573e+00 -2.3397e+00 -4.0587e+00 +1.2763e+00 +9.8538e-01 +1.6209e+00 +2.0415e+00 +4.2422e+00 -3.0983e-01 +1.3279e+00 +9.3757e-03 +6.6193e-01 +4.8240e+00 +4.1989e+00
3 +2.373251345e+03 +2.373251345e+03 +2.488931345e+03 +2.488931345e+03 -2.9674e+00 -2.4215e+00 -1.7646e-01 -1.8556e+00 -4.2593e+00 +1.2691e+00 -1.8419e+00 -4.5858e+00 +2.8364e+00 -3.2846e+00 -1.8828e+00 -3.0545e+00 -3.2985e+00 -2.9919e-01 -2.3614e+00 -3.6726e+00 +1.7391e+00 +1.1993e+00 +3.4911e+00 -9.6055e-01
7 +9.973897635e+02 +9.973897635e+02 +1.113069763e+03 +1.113069763e+03 -2.7784e+00 +4.9594e+00 -3.8979e+00 +1.5611e+00 +4.2243e+00 -3.3095e+00 +2.9691e-01 +2.0808e+00 -4.9602e+00 +3.0816e-01 +1.3467e+00 +1.7946e+00 +3.0283e-01 +2.4075e+00 +3.2956e-01 +3.4260e-01 -8.5774e-02 +1.1750e+00 -3.6245e-02 -2.9425e+00
