% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.269869120e+02 +5.269869120e+02 +5.100469120e+02 +5.100469120e+02 +4.1998e+00 +2.2786e+00 +2.8316e+00 -2.6131e+00 -4.9125e+00 -4.8228e+00 +3.3755e+00 +4.8836e+00 +1.2244e-01 +4.3926e+00 +4.9680e+00 +1.1839e+00 -1.6768e+00 +4.0084e+00 -3.8882e+00 -1.4818e+00 -3.5052e+00 +2.4281e+00 +4.5460e+00 -4.4022e+00
2 +5.973485010e+01 +5.973485010e+01 +4.279485010e+01 +4.279485010e+01 -4.2822e+00 +4.9424e+00 -3.0243e+00 +3.1867e+00 +1.2906e+00 +4.2142e+00 +3.6461e+00 -1.1853e+00 +1.2031e+00 +6.0613e-01 +1.3067e+00 +3.9765e+00 -3.8265e+00 -3.5396e+00 +3.7423e+00 -1.3643e+00 -4.9834e+00 -4.2374e+00 -3.2111e+00 +2.1917e+00
25 +3.351118241e+01 +3.351118241e+01 +1.657118241e+01 +1.657118241e+01 -2.4582e+00 -8.6342e-01 +1.7610e+00 +4.7038e+00 +3.0021e+00 +2.1580e+00 +3.6872e+00 +3.6833e+00 +5.0067e-01 -2.0196e+00 +4.7977e+00 -3.8494e+00 -3.4861e+00 -2.7695e-01 +4.1525e+00 +2.3203e+00 -3.4509e+00 -7.1141e-01 +1.6228e+00 +3.1830e-01
36 +2.136763883e+01 +2.136763883e+01 +4.427638834e+00 +4.427638834e+00 -4.5583e+00 -3.6626e+00 +2.1105e+00 +1.0290e+00 -1.3252e+00 -4.5949e-01 +1.1776e+00 -3.2268e+00 -2.6348e+00 -4.4021e+00 +4.9855e+00 -3.0470e+00 -3.4726e+00 -3.7593e+00 -3.3584e-01 -6.7902e-01 +3.7273e+00 +2.1059e+00 -2.7273e+00 -4.5718e+00
623 +1.545558713e+01 +1.545558713e+01 -1.484412867e+00 -1.484412867e+00 +5.0000e+00 -2.9179e+00 -1.1810e+00 -3.4695e+00 +4.0043e+00 -5.0000e+00 +4.0311e+00 -5.0000e+00 -1.1562e+00 -5.0000e+00 +5.0000e+00 +3.4545e-77 +1.7307e+00 -3.0269e+00 -2.8752e+00 +5.0000e+00 -3.2500e+00 +4.2755e+00 -6.9558e-01 -3.3149e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.924150974e+01 +2.924150974e+01 +4.805150974e+01 +4.805150974e+01 +1.8265e+00 +3.0922e+00 +3.2102e+00 +2.6445e+00 -3.7860e+00 +4.5933e+00 +1.5964e+00 +1.8334e+00 -6.0700e-01 -1.1885e+00 +4.3124e+00 -6.2280e-01 +3.3397e+00 -1.3417e+00 +2.3285e+00 -3.2255e+00 -1.9086e+00 +3.0794e+00 -3.4900e-01 +4.8886e-02
14 +2.059876479e+01 +2.059876479e+01 +3.940876479e+01 +3.940876479e+01 -2.7100e+00 -2.8799e+00 +3.8449e+00 -2.0587e+00 +3.1710e+00 -4.0544e+00 +3.0521e+00 +1.1516e+00 -1.1180e+00 -1.4291e+00 +4.1411e+00 +3.1174e+00 +3.6179e+00 +2.9034e-02 -3.0633e+00 -3.0794e+00 -3.0458e+00 -2.3480e+00 +3.6661e+00 -4.7407e+00
44 +1.386209907e+01 +1.386209907e+01 +3.267209907e+01 +3.267209907e+01 +3.0876e+00 +2.6086e+00 -9.9345e-01 +1.2261e+00 -1.6976e+00 -2.0772e+00 +6.3793e-01 -1.0495e+00 -8.5108e-01 +4.1563e+00 -3.9419e+00 -2.7126e+00 +2.5477e+00 -1.6155e+00 -2.5078e+00 -4.7787e+00 -2.2892e+00 +1.3931e+00 +2.1329e+00 +4.9158e+00
162 +9.705696063e+00 +9.705696063e+00 +2.851569606e+01 +2.851569606e+01 +2.1621e+00 -1.1481e+00 -1.0942e+00 +1.9384e+00 +3.1185e+00 -2.0158e+00 +3.3180e+00 -2.8895e+00 +2.0638e+00 +7.2774e-01 -2.8753e+00 -2.0208e-01 +4.6620e+00 -1.5630e+00 -2.6160e+00 -1.3250e+00 +3.2087e+00 +6.3736e-01 -3.5302e+00 +3.4522e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.939623925e+01 +2.939623925e+01 +3.025462392e+02 +3.025462392e+02 -4.5238e+00 -2.4890e+00 +2.9252e+00 +2.4286e+00 +4.3654e+00 -8.8296e-01 -1.9805e+00 +3.3012e+00 -4.8441e+00 -1.3663e+00 -2.4054e-01 -4.3797e+00 +3.2461e-01 +2.6675e+00 +1.8063e+00 -9.5639e-02 +2.7608e+00 -3.8837e+00 -1.2307e+00 -2.9539e+00
18 +2.204627283e+01 +2.204627283e+01 +2.951962728e+02 +2.951962728e+02 -2.2307e+00 +2.2389e+00 +1.1575e+00 -5.7763e-01 -6.9576e-01 +4.3807e+00 -2.8193e+00 -3.9757e+00 -3.8036e+00 +3.9633e+00 -3.4741e+00 -1.2577e+00 -1.9252e+00 -2.9115e+00 +4.9556e+00 -2.3410e-01 +2.5987e+00 +4.8721e-01 +4.2723e+00 -4.4660e+00
564 +1.416893080e+01 +1.416893080e+01 +2.873189308e+02 +2.873189308e+02 +1.4694e-38 +8.5099e-03 +1.3913e-38 +1.3127e-38 +5.0000e+00 -5.0000e+00 -5.8844e-39 -6.2884e-39 -1.8293e+00 -5.0079e-01 +1.3972e+00 -1.2763e-38 +1.3273e-38 +2.4512e+00 +1.3379e-38 +1.0448e-38 +1.9272e+00 +7.8032e-39 -8.3333e-39 -4.2337e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.718503764e+01 +1.718503764e+01 +5.436503764e+01 +5.436503764e+01 +3.9882e+00 +2.3864e-01 +4.0792e+00 -4.9596e+00 -2.3911e+00 +2.9357e+00 -3.0655e+00 -1.1934e+00 -4.1608e+00 -1.9103e+00 +2.9465e+00 +1.1810e+00 -1.5325e+00 -4.9885e-01 -1.0829e+00 +2.9210e+00 -1.9169e+00 +4.3871e+00 -2.1474e+00 +1.7126e+00
7 +1.451252872e+01 +1.451252872e+01 +5.169252872e+01 +5.169252872e+01 -4.4275e+00 -9.4039e-01 +2.4311e+00 +3.1422e+00 -3.7465e+00 +4.5335e+00 +6.0495e-01 +8.6131e-01 +8.9285e-01 +1.5983e+00 +2.7235e+00 +1.0409e+00 +9.3517e-01 +4.7296e+00 -2.8946e+00 +1.8025e+00 -3.7383e+00 -3.9741e+00 -2.9932e+00 -1.8911e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.005355306e+01 +3.005355306e+01 -1.178464469e+02 -1.178464469e+02 -7.1747e-01 +4.2154e+00 +4.0937e+00 +3.1174e-02 +3.2051e+00 +7.9866e-01 -1.2627e+00 +4.4898e+00 +4.6022e+00 -3.1526e+00 -4.4192e+00 -4.2800e+00 +4.6881e+00 -4.5353e+00 -2.8462e+00 +3.2432e+00 +2.1573e+00 -3.2015e+00 -1.8803e+00 +1.6322e-01
3 +2.349418674e+01 +2.349418674e+01 -1.244058133e+02 -1.244058133e+02 -3.7254e+00 -2.1715e+00 -1.1140e+00 -2.0346e+00 -1.8439e+00 -1.7551e+00 -1.3937e+00 -2.3858e+00 +3.6140e+00 +2.7277e+00 -3.8638e+00 +2.6243e+00 +1.4848e+00 -3.4623e+00 +3.6878e+00 +4.1580e-01 +2.8021e+00 +4.2750e+00 +2.6172e+00 -3.7503e-01
11 +1.376526280e+01 +1.376526280e+01 -1.341347372e+02 -1.341347372e+02 +3.1779e+00 -1.5440e+00 +4.5243e+00 -5.2806e-01 -4.9779e+00 +1.3501e+00 +2.2741e+00 -2.9626e+00 +1.1182e+00 +3.8231e-01 +2.3628e+00 +2.9614e+00 +3.8804e+00 -4.1178e+00 +1.8316e+00 +2.2836e+00 -4.7507e+00 -3.7848e+00 -2.3790e+00 +2.9448e+00
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
