% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.204163586e+02 +1.204163586e+02 +6.806635863e+01 +6.806635863e+01 -4.8949e+00 +2.4422e+00 -3.2066e+00 -1.9371e+00 -4.1227e+00 +5.1290e-01 -4.7756e+00 +3.1812e+00 +3.8428e+00 -2.9293e+00 -9.6865e-01 -2.4348e+00 -3.5739e+00 -1.2952e+00 -1.3524e+00 +1.6974e+00 -3.1967e+00 +2.0805e+00 -9.3241e-01 -2.7009e+00
15 +8.338186340e+01 +8.338186340e+01 +3.103186340e+01 +3.103186340e+01 +2.6031e+00 -3.8062e+00 +4.4972e+00 -2.2311e+00 -1.9342e+00 -2.2224e+00 -4.4531e+00 -1.7620e+00 +4.9878e+00 +2.2811e+00 -4.8534e+00 -4.2592e+00 -1.2493e-03 +3.3567e+00 +4.8976e+00 -1.1876e+00 +1.4037e+00 +2.1619e+00 +3.5174e+00 -1.9975e+00
27 +5.079190665e+01 +5.079190665e+01 -1.558093351e+00 -1.558093351e+00 -4.2042e-01 +7.5762e-01 +1.4868e+00 -6.1926e-02 +5.9925e-01 +1.5585e-01 -3.4496e+00 -3.9401e+00 -2.3114e+00 -2.8016e+00 -5.5394e-02 +1.1004e+00 +1.7908e+00 -4.9953e+00 +3.0486e+00 +3.4113e+00 -9.4151e-01 +3.8582e-01 +2.2193e+00 -4.1103e+00
64 +3.962178444e+01 +3.962178444e+01 -1.272821556e+01 -1.272821556e+01 -2.4995e+00 -4.8037e-01 -3.8163e+00 +1.7632e+00 -1.7230e-01 +5.2610e-01 -3.6288e+00 -2.6394e+00 +3.8573e-01 +3.4145e-01 +4.5481e+00 -2.0933e+00 -3.7397e-01 -2.1938e+00 -2.2165e+00 -2.0492e+00 -3.5641e+00 -4.1172e+00 +4.0763e+00 +3.4560e-01
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.806962981e+02 +1.806962981e+02 +1.156298131e+00 +1.156298131e+00 +1.2858e+00 -3.6113e+00 -1.6155e+00 +3.2157e+00 -3.3440e+00 +8.7170e-01 +3.0295e+00 -1.3146e+00 -4.9073e+00 -2.5645e+00 +1.0201e+00 -1.8572e+00 +4.7802e+00 +4.2413e+00 -2.2519e-02 +2.5102e+00 +2.4544e+00 -6.0203e-01 -4.8763e+00 +3.5805e+00
3 +8.474763027e+01 +8.474763027e+01 -9.479236973e+01 -9.479236973e+01 -4.5246e+00 -1.1147e+00 -5.4448e-01 +2.0682e+00 +2.5134e+00 +3.6128e+00 +1.4003e+00 +8.4157e-01 +6.1315e-01 +1.6330e+00 -3.1624e+00 +1.1226e+00 -2.7913e+00 +2.7669e-01 +4.9147e+00 +3.3330e-01 -2.0125e+00 +2.0008e+00 -3.0657e+00 +4.7729e-01
38 +4.411560100e+01 +4.411560100e+01 -1.354243990e+02 -1.354243990e+02 -2.9837e+00 +2.6181e+00 -1.7906e+00 +2.1917e+00 -3.2694e+00 -7.4662e-01 +2.4868e+00 +1.5185e-01 -3.2615e+00 +8.3672e-01 +2.8534e+00 -2.5669e+00 -3.2144e+00 +4.5409e+00 +8.2641e-01 -3.4088e+00 +8.5343e-01 +3.0364e+00 +6.7680e-01 -2.7350e-01
1003 +3.880822125e+01 +3.880822125e+01 -1.407317788e+02 -1.407317788e+02 -3.4292e-77 +2.7281e+00 -4.3894e-68 +2.7706e+00 +4.5371e+00 +1.3819e+00 +3.6195e+00 +4.2690e+00 +2.9763e+00 -4.1464e-77 +3.7487e+00 +1.2117e+00 +3.1421e-77 +4.1705e-01 +3.7247e-77 +5.0000e+00 +1.9666e+00 +3.3410e+00 +3.5155e-77 +2.5637e+00
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
