% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.533984369e+01 +7.533984369e+01 +1.466898437e+02 +1.466898437e+02 +8.1831e-01 +2.8341e+00 +4.6401e+00 -4.7760e+00 +4.7730e+00 -2.5405e+00 +1.6198e-01 +7.3746e-01 +5.4614e-02 -7.2162e-01 +1.4026e+00 -1.3880e+00 -1.8513e+00 -4.6563e+00 +2.5633e+00 -2.7908e+00 +4.1862e-02 +1.0053e+00 -3.9114e+00 -4.0255e+00
2 +4.942209980e+01 +4.942209980e+01 +1.207720998e+02 +1.207720998e+02 -2.1698e+00 +5.5717e-01 -2.8922e+00 +1.7328e+00 -3.6238e+00 -1.8988e+00 -2.6504e+00 -5.9837e-01 -3.1918e+00 +2.0424e+00 -4.1420e+00 -1.3272e-01 -1.0647e+00 +3.0385e+00 +3.5345e+00 +4.1676e+00 +3.5242e+00 -1.2294e+00 +1.3415e+00 +4.2586e+00
60 +3.655059533e+01 +3.655059533e+01 +1.079005953e+02 +1.079005953e+02 +3.3215e+00 +2.3963e+00 -3.6242e+00 -1.5272e+00 -1.3936e+00 -1.3639e+00 +4.8441e+00 +4.0169e+00 -2.0160e+00 +8.4327e-01 -3.2482e+00 +3.1035e+00 +3.9596e-01 -1.6766e+00 +3.5029e+00 -1.5992e+00 -4.3121e+00 +3.6469e+00 +3.9039e+00 +1.1919e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.554668911e+01 +7.554668911e+01 -2.796733109e+02 -2.796733109e+02 -1.8133e+00 -4.3662e+00 -1.3729e-01 -2.7872e+00 -2.6055e+00 -4.5161e+00 +4.8038e+00 +3.9536e+00 -6.2503e-01 -2.2444e+00 +2.4603e+00 -4.8992e+00 +3.5425e+00 +4.6679e+00 +1.9115e+00 -2.6345e+00 -1.8274e+00 -8.9238e-01 -4.3950e+00 -4.6177e+00
2 +6.257487113e+01 +6.257487113e+01 -2.926451289e+02 -2.926451289e+02 -1.3088e+00 +4.5106e+00 +3.4444e+00 +2.2769e+00 -8.4987e-01 +4.0106e+00 -4.7019e+00 -4.3024e+00 -2.2310e+00 +1.4491e+00 +9.7013e-01 -2.2555e+00 -3.3912e+00 -4.6157e+00 +3.4966e+00 +2.3657e+00 -1.7163e+00 +3.3185e-01 -2.2822e+00 -2.7298e+00
75 +2.664596020e+01 +2.664596020e+01 -3.285740398e+02 -3.285740398e+02 -4.0578e+00 -1.1487e+00 +3.1549e+00 -3.7722e+00 -4.9464e+00 +5.7498e-01 -4.2005e+00 -5.6030e-01 +7.3750e-01 +4.9616e+00 -4.9529e+00 +3.8375e+00 +3.6622e+00 -2.9186e+00 -1.4809e+00 -1.4398e+00 -4.4986e+00 -1.5520e+00 -4.1482e+00 -4.5246e+00
622 +2.285872095e+01 +2.285872095e+01 -3.323612790e+02 -3.323612790e+02 +4.4584e+00 -4.9514e+00 -4.9624e+00 -1.0635e+00 -3.1617e+00 +2.2004e+00 -7.4784e-01 -3.9737e+00 -7.2012e-01 -3.0247e+00 +1.3134e+00 -2.7204e+00 +4.1850e-01 -2.4886e+00 +5.5848e-03 -2.2214e+00 -4.5698e+00 +3.1351e+00 +1.7075e+00 +3.4467e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.286044886e+01 +9.286044886e+01 +1.920304489e+02 +1.920304489e+02 -8.0649e-01 +2.5118e-01 +4.4866e+00 +2.9229e+00 -2.0378e+00 -3.6781e+00 -1.3342e+00 +1.3673e+00 +1.8941e+00 +1.7157e+00 +1.7878e+00 -6.4779e-01 +1.2944e+00 -2.4705e+00 -1.3764e+00 -9.5328e-01 -3.0129e+00 +4.1685e+00 +4.2951e+00 -1.2981e+00
2 +5.143993905e+01 +5.143993905e+01 +1.506099390e+02 +1.506099390e+02 -3.7167e+00 -8.3510e-01 -3.1262e+00 -4.9665e+00 -9.9972e-01 +8.1833e-01 +3.1757e+00 +1.9150e+00 -3.7826e+00 +2.9074e+00 -3.5363e+00 -1.9740e+00 -1.4604e-01 +1.7449e+00 -2.4216e+00 +8.1946e-02 +1.7437e+00 +3.3939e+00 +3.0290e+00 -1.3409e+00
17 +3.942563814e+01 +3.942563814e+01 +1.385956381e+02 +1.385956381e+02 +1.8885e+00 +2.0305e+00 +2.5675e+00 -4.9922e+00 +4.0897e+00 -4.3856e+00 -4.0834e+00 -2.5589e+00 +2.7880e+00 -4.2438e+00 +4.3110e+00 +2.2835e+00 -2.7173e+00 -1.9961e+00 +3.7549e+00 -3.5464e+00 +1.3681e+00 +3.8254e+00 +4.5493e+00 -1.9464e+00
1101 +2.365533419e+01 +2.365533419e+01 +1.228253342e+02 +1.228253342e+02 +1.3885e+00 +2.0305e+00 +2.5675e+00 -4.9922e+00 +4.0897e+00 -5.0000e+00 -4.0834e+00 -2.5589e+00 +2.8505e+00 -4.2126e+00 +4.3110e+00 +2.2835e+00 -2.7173e+00 -1.9961e+00 +3.7549e+00 -3.5464e+00 +1.3681e+00 +3.8254e+00 +4.5493e+00 -1.9464e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.985940552e+01 +6.985940552e+01 -4.480505945e+02 -4.480505945e+02 +1.2503e+00 -1.9285e+00 -1.3821e+00 +2.9078e+00 +2.0105e+00 -4.2905e+00 +9.6596e-01 -6.3692e-01 -1.6854e+00 -1.1398e+00 +4.4303e-01 +1.7001e+00 +3.2896e+00 -3.0289e+00 +2.0866e+00 -4.8604e-01 +2.5489e+00 +4.8784e+00 -1.2260e+00 -3.2940e+00
2 +5.390141305e+01 +5.390141305e+01 -4.640085870e+02 -4.640085870e+02 +2.8398e+00 -5.6903e-01 -2.9454e+00 +1.5942e+00 -3.7135e+00 +2.2034e+00 -2.1718e-01 -3.7639e+00 -4.7929e+00 -1.0194e+00 -9.8149e-03 +9.2482e-01 +4.4811e+00 +2.9814e+00 +2.6839e+00 -8.3144e-01 -4.8425e-01 -4.0913e+00 -8.9669e-01 -1.7489e+00
49 +3.673043888e+01 +3.673043888e+01 -4.811795611e+02 -4.811795611e+02 -3.6454e+00 -2.4416e+00 -3.5270e+00 +3.5305e+00 -1.2577e+00 +1.9440e+00 +3.1028e+00 -1.4058e+00 -4.8717e+00 +2.9836e+00 +9.2809e-01 -3.6697e+00 +9.7355e-01 -2.3803e+00 -2.7412e+00 -5.9223e-01 -2.7182e+00 +4.7388e+00 -4.1016e+00 -8.3987e-02
